Hydroyear,DATE,COR.LEVEL,COR.FLOW,COMMENTS,EXT.FLOW,PERC.EXC,NUMREC,NUMDAYS,Exclusion Comments
1965,1966-01-24 14:48:00,0.228,0.23,van Bladeren Record,0.23,0.0,301,95.0,
1966,1967-03-21 19:06:00,0.244,0.3,van Bladeren Record,0.3,0.0,220,115.0,
1967,1968-04-18 16:00:00,0.205,0.15,van Bladeren Record,0.15,0.0,397,149.0,
1968,1968-12-09 03:00:00,0.207,0.16,van Bladeren Record,0.16,0.0,578,153.0,
1969,1969-12-14 17:00:00,0.632,3.0,van Bladeren Record,3.0164600000000004,0.3174603174603177,812,169.0,
1970,1970-12-27 14:36:00,0.7609999999999999,4.34,van Bladeren Record,4.194229999999984,20.793650793650777,817,189.0,Excluded: RT exceeded 20.8%
1971,1972-01-21 00:54:00,0.292,0.52,van Bladeren Record,0.52,0.0,1225,244.0,
1972,1972-11-06 16:00:00,0.32799999999999996,0.71,van Bladeren Record,0.71,0.0,634,150.0,
1973,1974-02-05 12:48:00,0.888,5.91,van Bladeren Record,5.35373999999997,40.952380952380956,646,161.0,Excluded: RT exceeded 41.0%
1974,1975-01-17 20:00:00,0.825,5.15,van Bladeren Record,4.778549999999978,30.952380952380945,1290,278.0,Excluded: RT exceeded 31.0%
1975,1975-12-20 20:18:00,0.6,2.73,van Bladeren Record,2.73,0.0,641,118.0,
1976,1977-03-10 18:00:00,0.7709999999999999,4.57,van Bladeren Record,4.4379700000000115,26.393442622950804,1444,217.0,Excluded: RT exceeded 26.4%
1977,1977-12-31 04:54:00,1.01,7.73,van Bladeren Record,6.70130000000003,65.57377049180327,2512,280.0,Excluded: RT exceeded 65.6%
1978,1979-03-22 21:18:00,0.313,0.64,van Bladeren Record,0.64,0.0,1738,234.0,
1979,1980-02-06 22:48:00,0.33,0.73,van Bladeren Record,0.73,0.0,968,204.0,
1980,1980-12-05 16:48:00,0.512,2.03,van Bladeren Record,2.03,0.0,1057,227.0,
1981,1982-02-17 13:54:00,0.6809999999999999,3.6,van Bladeren Record,3.5856700000000057,11.639344262295074,903,221.0,
1982,1983-01-24 16:24:00,0.34600000000000003,0.82,van Bladeren Record,0.82,0.0,503,183.0,
1983,1983-11-07 20:00:00,0.36200000000000004,0.91,van Bladeren Record,0.91,0.0,462,140.0,
1984,1985-03-06 22:42:00,0.602,2.84,van Bladeren Record,2.84,0.0,421,132.0,
1985,1985-12-26 17:06:00,0.449,1.52,van Bladeren Record,1.52,0.0,276,117.0,
1986,1986-12-17 16:31:00,0.759,4.46,van Bladeren Record,4.324330000000012,24.426229508196727,458,131.0,Excluded: RT exceeded 24.4%
1987,1987-11-09 13:18:00,0.28800000000000003,0.51,van Bladeren Record,0.51,0.0,341,116.0,
1988,1989-03-23 15:36:00,0.4,1.17,van Bladeren Record,1.17,0.0,317,120.0,
1989,1989-12-14 12:48:00,0.289,0.51,van Bladeren Record,0.51,0.0,423,145.0,
1990,1991-03-06 14:42:00,0.34600000000000003,0.82,van Bladeren Record,0.82,0.0,363,116.0,
1991,1991-12-12 03:48:00,0.287,0.5,van Bladeren Record,0.5,0.0,189,87.0,
1992,1992-12-23 20:42:00,0.233,0.26,van Bladeren Record,0.26,0.0,193,81.0,
1993,1993-12-16 23:00:00,0.19899999999999998,0.14,van Bladeren Record,0.14,0.0,153,68.0,
1994,1994-10-29 02:48:00,0.34299999999999997,0.805,,0.805,0.0,154,65.0,
1995,1996-02-13 06:18:00,0.21600000000000003,0.191,,0.191,0.0,319,123.0,
1996,1997-05-26 15:06:00,0.397,1.145,,1.145,0.0,419,177.0,
1997,1997-12-22 21:06:00,0.392,1.111,,1.111,0.0,504,177.0,
1998,1998-12-11 23:36:00,0.28300000000000003,0.48200000000000004,,0.48200000000000004,0.0,666,222.0,
1999,2000-03-03 02:16:00,0.585,2.676,,2.676,0.0,540,206.0,
2000,2001-03-25 14:22:00,0.24600000000000002,0.309,,0.309,0.0,801,242.0,
2001,2002-01-24 20:50:00,0.556,2.411,,2.411,0.0,626,199.0,
2002,2003-02-20 12:54:00,0.17800000000000002,0.075,,0.075,0.0,275,107.0,
2003,2004-02-24 13:00:00,0.19899999999999998,0.135,,0.135,0.0,312,122.0,
2004,2005-01-02 18:00:00,0.5589999999999999,2.438,,2.438,0.0,11752,253.0,
2005,2006-02-10 15:18:00,0.132,0.026000000000000002,,0.026000000000000002,0.0,417,137.0,
2006,2006-11-24 14:14:00,0.23,0.244,,0.244,0.0,14126,188.0,
2007,2008-02-06 16:24:00,0.35700000000000004,0.8859999999999999,,0.8859999999999999,0.0,13892,272.0,
2008,2009-03-16 17:10:00,0.27,0.418,,0.418,0.0,12961,278.0,
2009,2010-01-24 00:07:00,0.228,0.23600000000000002,,0.23600000000000002,0.0,2472,272.0,
2010,2010-12-25 01:11:00,0.32799999999999996,0.72,,0.72,0.0,18494,365.0,
2011,2011-11-22 18:23:00,0.295,0.5429999999999999,,0.5429999999999999,0.0,18977,364.0,
2012,2012-11-14 22:44:00,0.23600000000000002,0.267,,0.267,0.0,22183,363.0,
2013,2014-02-03 10:18:00,0.28,0.467,,0.467,0.0,20726,365.0,
2014,2014-11-03 16:31:00,0.215,0.187,,0.187,0.0,21807,365.0,
2015,2016-02-24 17:24:00,0.282,0.47700000000000004,,0.47700000000000004,0.0,13122,346.0,
2016,2017-03-23 17:41:00,0.483,1.788,,1.788,0.0,14606,361.0,
2017,2018-02-05 14:38:00,0.42200000000000004,1.321,,1.321,0.0,11374,240.0,
