Hydroyear,DATE,COR.LEVEL,COR.FLOW,COMMENTS,EXT.FLOW,PERC.EXC,NUMREC,NUMDAYS,Exclusion Comments
1904,1905-03-17 10:00:00,0.853,13.0,van Bladeren Record,13.0,0,195,112.0,
1905,1905-12-15 22:18:00,1.219,189.0,van Bladeren Record,189.0,0,1056,200.0,
1906,1906-10-15 01:30:00,1.219,84.0,van Bladeren Record,84.0,0,1003,280.0,
1907,1907-11-17 11:30:00,1.219,72.0,van Bladeren Record,72.0,0,1111,276.0,
1908,1909-01-09 22:30:00,1.219,774.0,van Bladeren Record,774.0,0,1665,330.0,
1909,1910-02-27 04:54:00,1.1740000000000002,29.0,van Bladeren Record,29.0,0,1211,328.0,
1910,1910-10-23 15:30:00,0.997,19.0,van Bladeren Record,19.0,0,1344,329.0,
1911,1911-11-22 00:00:00,1.189,30.0,van Bladeren Record,30.0,0,1053,256.0,
1912,1913-01-02 01:00:00,0.9109999999999999,15.0,van Bladeren Record,15.0,0,1515,275.0,
1913,1913-10-20 18:00:00,0.9209999999999999,16.0,van Bladeren Record,16.0,0,741,161.0,
1914,1914-10-19 04:00:00,1.219,1271.0,van Bladeren Record,1271.0,0,974,314.0,
1915,1915-11-17 02:00:00,1.219,95.0,van Bladeren Record,95.0,0,483,227.0,
1916,1916-12-29 04:24:00,1.311,61.0,van Bladeren Record,61.0,0,780,265.0,
1917,1917-11-20 22:12:00,1.219,279.0,van Bladeren Record,279.0,0,923,318.0,
1918,1918-11-29 04:00:00,1.219,89.0,van Bladeren Record,89.0,0,615,322.0,
1919,1920-01-09 01:00:00,1.219,32.0,van Bladeren Record,32.0,0,697,268.0,
1920,1920-10-29 04:00:00,1.219,480.0,van Bladeren Record,480.0,0,908,341.0,
1921,1921-10-19 09:00:00,0.917,16.0,van Bladeren Record,16.0,0,735,300.0,
1922,1922-11-05 16:24:00,1.219,88.0,van Bladeren Record,88.0,0,1022,312.0,
1923,1923-12-26 15:00:00,1.213,32.0,van Bladeren Record,32.0,0,571,267.0,
1924,1924-12-27 08:24:00,1.219,268.0,van Bladeren Record,268.0,0,890,341.0,
1925,1925-12-10 04:00:00,1.219,32.0,van Bladeren Record,32.0,0,708,290.0,
