,GEV,GLO,GPA,LNO,LP3,PE3
2,5.20525929446,5.34947565271,4.82167472695,4.93205214471,2.90749307697,4.43381409592
5,14.0667308427,13.8064996815,15.0799478754,14.6813821663,16.0250092827,15.9641255041
10,22.3282397849,21.657603814,24.1986729416,23.7081100251,33.465985217,25.7814585793
20,32.7094743502,31.7566947443,34.6823526963,34.4729179457,57.0410597295,36.0745677843
50,50.9495435002,50.2250210938,50.9871504066,51.7798367684,96.346834406,50.1313925937
100,69.3537091922,69.7031579786,65.4807172506,67.5165230229,131.027883608,60.9944898627
200,93.0456895414,95.8231482531,82.143782777,85.822166872,168.865848471,71.9992650213
