,GEV,GLO,GPA,LNO,LP3,PE3
2,100.01070002,101.614319225,95.0790157703,95.1123655591,105.008499934,85.3498904918
5,215.843037511,213.556661578,227.438357888,225.275760066,237.356568191,246.754004998
10,331.984642752,324.516308805,356.59653524,357.206058146,346.000691241,397.697821311
20,486.668754924,474.31829031,517.636092659,524.25775488,460.915879347,561.549659054
50,777.120582137,763.363191875,793.078449049,809.09746873,620.464187575,790.370996784
100,1089.4345755,1084.00896799,1061.85911951,1081.46682901,745.557023749,969.670915058
200,1514.32582258,1533.19428865,1396.98555984,1411.00084849,873.384822236,1152.77638655
