,GEV,GLO,GPA,LNO,LP3,PE3
2,67.1288391521,67.239481223,63.732044118,57.3344999758,63.4361815455,39.1269457532
5,165.993947934,166.853411181,171.110897705,173.543712496,193.144510491,191.70047715
10,292.139143945,291.809673383,309.774678222,346.046762522,411.686152486,466.312775115
20,496.253384118,492.966439839,530.848063294,628.873188278,847.135112866,838.289803158
50,975.641436288,965.362640559,1036.50167484,1251.52726197,2126.90362351,1426.00589803
100,1612.58972795,1594.66657945,1689.47792731,1990.57336555,4194.74407586,1918.67384669
200,2655.29007174,2628.39511919,2730.52606523,3050.47418552,8184.12564807,2440.03162049
