,GEV,GLO,GPA,LNO,LP3,PE3
2,146.054046406,148.993163383,136.724791963,136.243781277,121.210569054,116.419311487
5,366.325188252,362.34862185,387.808251805,384.675421305,379.914583176,427.123702239
10,590.036762764,576.344305432,636.77289693,640.747156897,701.986936704,723.290632877
20,891.069897022,867.78883387,951.555373171,968.636112856,1175.81303561,1046.99163468
50,1463.01395291,1435.62754367,1498.86419748,1533.90046959,2121.33363202,1500.97809723
100,2084.95365797,2071.32296849,2041.55445395,2079.51596566,3161.63296019,1857.63073431
200,2939.38947797,2968.92166388,2727.71365812,2744.50969922,4573.46795574,2222.38717543
