,GEV,GLO,GPA,LNO,LP3,PE3
2,1.52841250196,1.5462307927,1.40324792897,1.26163574538,1.09418342842,0.696876336163
5,4.87317268386,4.87926531189,5.09005267597,5.17826319173,5.56762585373,6.00041607917
10,8.86381089554,8.78330389662,9.51217498209,10.3139504097,13.349488228,13.2413607655
20,14.9783769761,14.75218511,16.1180984399,18.047808354,27.8331980706,22.1822144437
50,28.4636227915,27.9826068429,30.1033880384,33.6953387534,64.5133516987,35.6373665711
100,45.3532415783,44.6891570621,46.8779842906,50.9956168098,113.908773715,46.6368921204
200,71.604825834,70.8801774539,71.936472321,74.4540326506,192.753198065,58.1308615666
