Hydroyear,DATE,COR.LEVEL,COR.FLOW,COMMENTS,EXT.FLOW,PERC.EXC,NUMREC,NUMDAYS,Exclusion Comments
1972,1973-06-26 16:00:00,0.0,0.0,,0.0,0,8,8.0,
1973,1974-01-01 21:00:00,0.5489999999999999,4.01,van Bladeren Record,4.01,0,590,106.0,
1974,1975-02-20 17:12:00,0.552,4.07,van Bladeren Record,4.07,0,793,178.0,
1975,1976-02-12 08:48:00,0.767,9.08,van Bladeren Record,9.08,0,303,126.0,
1976,1977-03-06 14:00:00,0.529,3.64,van Bladeren Record,3.64,0,472,101.0,
1977,1978-03-04 16:48:00,0.878,12.26,van Bladeren Record,12.26,0,895,99.0,
1979,1980-02-17 15:54:00,0.7809999999999999,9.47,van Bladeren Record,9.47,0,398,124.0,
1980,1980-11-29 17:30:00,0.322,0.98,van Bladeren Record,0.98,0,369,117.0,
1981,1981-12-29 16:18:00,0.28,0.64,van Bladeren Record,0.64,0,125,56.0,
1982,1983-01-14 02:54:00,0.171,0.26,van Bladeren Record,0.26,0,43,32.0,
1983,1984-01-13 19:42:00,1.09,19.22,van Bladeren Record,19.22,0,346,109.0,
1984,1985-02-25 19:42:00,0.617,5.41,van Bladeren Record,5.41,0,169,74.0,
1985,1986-01-01 08:06:00,0.11,0.14,van Bladeren Record,0.14,0,28,28.0,
1986,1986-12-29 16:42:00,0.344,1.19,van Bladeren Record,1.19,0,109,53.0,
1987,1987-11-02 01:06:00,0.5489999999999999,4.01,van Bladeren Record,4.01,0,357,115.0,
1988,1989-01-09 04:30:00,0.342,1.17,van Bladeren Record,1.17,0,145,74.0,
1989,1989-12-14 08:54:00,0.215,0.36,van Bladeren Record,0.36,0,59,45.0,
1990,1991-03-12 02:30:00,0.6509999999999999,6.17,van Bladeren Record,6.17,0,301,110.0,
1991,1991-10-07 16:18:00,0.0,0.0,van Bladeren Record,0.0,0,26,26.0,
1992,1993-01-09 21:54:00,0.175,0.27,van Bladeren Record,0.27,0,86,51.0,
1993,1994-02-07 18:18:00,0.732,8.155,,8.155,0,73,35.0,
1994,1995-01-16 14:18:00,0.688,7.05,,7.05,0,161,70.0,Excluded: Less than 91 days (1 Hydroquarter)
1995,1996-02-12 13:48:00,0.981,15.492,,15.492,0,351,109.0,
1996,1996-12-09 15:36:00,1.298,29.037,,29.037,0,156,71.0,Excluded: Less than 91 days (1 Hydroquarter)
1997,1997-10-12 15:48:00,1.482,40.757,,40.757,0,113,58.0,
1998,1998-12-28 03:00:00,0.769,9.138,,9.138,0,181,66.0,
1999,2000-01-16 22:57:00,1.092,19.298,,19.298,0,25005,266.0,
2000,2001-02-26 13:54:00,0.6609999999999999,6.405,,6.405,0,42610,365.0,
2001,2001-11-22 14:18:00,0.899,12.899000000000001,,12.899000000000001,0,16299,365.0,
2002,2003-02-18 04:54:00,0.429,2.17,,2.17,0,10203,365.0,
2003,2004-03-23 13:36:00,0.853,11.517000000000001,,11.517000000000001,0,2812,226.0,
2004,2004-12-10 06:12:00,0.063,0.063,,0.063,0,18932,320.0,
2005,2006-02-14 00:45:00,1.1,19.61,,19.61,0,25241,242.0,
2006,2006-12-28 18:19:00,0.359,1.351,,1.351,0,41840,353.0,
2007,2008-01-10 16:31:00,0.506,3.2430000000000003,,3.2430000000000003,0,43920,366.0,
2008,2009-02-28 15:56:00,0.6709999999999999,6.642,,6.642,0,42193,365.0,
2009,2010-04-02 16:57:00,0.647,6.08,,6.08,0,43803,365.0,
2010,2011-03-27 14:43:00,0.41600000000000004,2.008,,2.008,0,34029,352.0,
2011,2012-01-13 15:34:00,0.337,1.123,,1.123,0,43921,366.0,
2012,2013-01-19 23:36:00,0.638,5.874,,5.874,0,43802,365.0,
2013,2014-03-06 13:12:00,1.1909999999999998,23.546,,23.546,0,37874,317.0,
2014,2015-04-15 12:01:00,-0.191,0.0,,0.0,0,20221,169.0,
2015,2016-02-21 13:03:00,-0.19,0.0,,0.0,0,43921,366.0,
2016,2016-12-15 13:40:00,0.469,2.697,,2.697,0,43805,365.0,
2017,2018-04-20 15:16:00,0.995,15.945,,15.945,0,30481,254.0,
