,GEV,GLO,GPA,LNO,LP3,PE3
2,28.4874492191,28.8247289886,26.5641338732,24.8055527326,25.4103242403,16.8801920263
5,78.5766776619,78.5294912427,82.0693179453,83.2295030887,86.3196156634,95.6634525664
10,136.901466459,135.353404512,146.836220179,156.780858046,162.977413863,195.473671634
20,224.524254108,220.665048887,241.271665482,264.516335605,274.943010567,315.689591104
50,413.433797446,405.955922753,435.541453263,476.593285732,494.274981771,494.14999759
100,645.026611808,635.547978258,662.227528851,705.704436991,729.899916628,638.97232311
200,998.309352119,989.603117888,992.754383679,1010.75344939,1041.91948913,789.727155106
