Hydroyear,DATE,COR.LEVEL,COR.FLOW,COMMENTS,EXT.FLOW,PERC.EXC,NUMREC,NUMDAYS,Exclusion Comments
1967,1968-02-07 06:30:00,0.0,0.0,van Bladeren Record,0.0,0,1,1.0,
1968,1969-03-15 05:30:00,0.469,87.0,van Bladeren Record,87.0,0,200,87.0,
1969,1969-12-09 19:12:00,0.9059999999999999,235.0,van Bladeren Record,235.0,0,171,78.0,
1970,1971-01-15 20:12:00,0.499,96.0,van Bladeren Record,96.0,0,253,84.0,
1971,1972-01-25 14:12:00,0.611,129.0,van Bladeren Record,129.0,0,270,114.0,
1972,1972-11-18 02:06:00,0.239,32.0,van Bladeren Record,32.0,0,118,49.0,
1973,1974-01-31 04:48:00,0.633,135.0,van Bladeren Record,135.0,0,283,114.0,
1974,1975-01-29 03:18:00,1.26,383.0,van Bladeren Record,383.0,0,364,126.0,
1975,1976-02-24 22:12:00,1.2329999999999999,369.0,van Bladeren Record,369.0,0,403,200.0,
1976,1977-02-12 03:54:00,0.179,21.0,van Bladeren Record,21.0,0,249,127.0,
1977,1978-01-06 22:48:00,0.43200000000000005,76.0,van Bladeren Record,76.0,0,249,144.0,
1978,1978-11-04 01:12:00,0.127,13.0,van Bladeren Record,13.0,0,281,109.0,
1979,1980-02-25 20:00:00,0.845,212.0,van Bladeren Record,212.0,0,254,121.0,
1980,1981-01-09 23:42:00,0.479,90.0,van Bladeren Record,90.0,0,258,118.0,
1981,1982-02-20 01:54:00,0.18600000000000003,22.0,van Bladeren Record,22.0,0,111,61.0,
1982,1983-04-28 02:06:00,0.099,9.0,van Bladeren Record,9.0,0,56,30.0,
1983,1984-01-09 12:12:00,0.473,87.0,van Bladeren Record,87.0,0,106,43.0,
1984,1985-01-19 18:30:00,0.7240000000000001,165.0,van Bladeren Record,165.0,0,155,63.0,
1985,1986-01-28 06:00:00,0.0,0.0,van Bladeren Record,0.0,0,3,2.0,
1986,1987-01-24 20:00:00,0.13699999999999998,14.0,van Bladeren Record,14.0,0,21,11.0,
1987,1987-12-06 09:42:00,0.524,102.0,van Bladeren Record,102.0,0,113,60.0,
1988,1989-01-10 11:24:00,0.128,13.0,van Bladeren Record,13.0,0,52,22.0,
1989,1989-11-04 12:30:00,0.377,63.0,van Bladeren Record,63.0,0,73,39.0,
1990,1991-02-17 21:06:00,0.598,126.0,van Bladeren Record,126.0,0,83,51.0,
1991,1992-01-11 06:06:00,0.11900000000000001,11.0,van Bladeren Record,11.0,0,11,3.0,
1992,1993-01-10 12:18:00,0.15,16.0,van Bladeren Record,16.0,0,34,15.0,
1993,1993-12-04 11:48:00,0.466,84.0,van Bladeren Record,84.0,0,105,57.0,
1994,1995-03-26 14:00:00,0.248,29.426,,29.426,0,50,26.0,
1995,1996-02-13 16:24:00,0.97,264.28,,264.28,0,284,117.0,
1996,1996-11-22 18:36:00,0.301,39.982,,39.982,0,176,100.0,
1997,1997-10-09 09:00:00,0.16,14.787,,14.787,0,60,35.0,
1998,1999-01-01 14:24:00,0.47200000000000003,82.01299999999999,,82.01299999999999,0,228,105.0,
1999,2000-02-16 17:19:00,1.115,341.593,,341.593,0,1539,155.0,
2000,2001-02-02 20:48:00,0.12,9.446,,9.446,0,2696,122.0,
2001,2001-11-28 17:30:00,0.99,273.28,,273.28,0,1437,210.0,
2002,2002-10-10 17:36:00,-0.001,0.0,,0.0,0,50,14.0,Excluded: Less than 91 days (1 Hydroquarter)
2003,2004-03-07 20:24:00,0.621,127.70299999999999,,127.70299999999999,0,2569,212.0,
2004,2004-12-26 14:02:00,0.221,24.538,,24.538,0,17185,357.0,
2005,2006-03-05 10:36:00,0.8290000000000001,204.338,,204.338,0,43799,365.0,
2006,2007-03-28 22:51:00,0.354,51.748000000000005,,51.748000000000005,0,43801,365.0,
2007,2008-01-24 22:44:00,2.503,2092.611,,2092.611,0,43923,366.0,
2008,2009-03-14 08:45:00,0.113,8.605,,8.605,0,35671,365.0,
2009,2010-04-29 20:26:00,0.22399999999999998,25.064,,25.064,0,43589,365.0,
2010,2011-01-25 16:45:00,0.39399999999999996,61.393,,61.393,0,43586,365.0,
2011,2011-12-25 12:45:00,0.8759999999999999,223.62400000000002,,223.62400000000002,0,40945,362.0,
2012,2013-01-22 09:41:00,0.342,48.981,,48.981,0,43803,365.0,
2013,2014-01-01 21:12:00,0.266,32.871,,32.871,0,22252,365.0,
2014,2014-11-10 22:56:00,0.218,24.016,,24.016,0,30565,365.0,
2015,2016-02-03 08:36:00,-0.073,0.0,,0.0,0,41913,357.0,
2016,2017-01-10 00:11:00,0.26,31.706999999999997,,31.706999999999997,0,14546,122.0,
2017,2018-05-16 10:11:00,0.086,5.638999999999999,,5.638999999999999,0,4911,48.0,Excluded: Less than 91 days (1 Hydroquarter)
