Hydroyear,DATE,COR.LEVEL,COR.FLOW,COMMENTS,EXT.FLOW,PERC.EXC,NUMREC,NUMDAYS,Exclusion Comments
1961,1962-09-04 16:59:00,0.04,0.149,,0.149,0.0,5,5.0,Excluded: Less than 91 days (1 Hydroquarter)
1962,1962-12-06 17:23:00,0.733,33.6,van Bladeren Record,33.6,0.0,561,165.0,
1963,1964-02-12 22:23:00,0.465,10.7,van Bladeren Record,10.7,0.0,344,127.0,
1964,1965-02-04 00:23:00,0.564,18.6,van Bladeren Record,18.6,0.0,513,163.0,
1965,1966-02-01 21:23:00,0.162,1.1,van Bladeren Record,1.1,0.0,315,94.0,
1966,1967-01-21 15:11:00,2.2230000000000003,409.0,van Bladeren Record,409.0,0.0,1567,239.0,
1967,1968-04-21 21:30:00,0.45799999999999996,10.2,van Bladeren Record,10.2,0.0,968,263.0,
1968,1969-03-17 11:06:00,0.498,13.1,van Bladeren Record,13.1,0.0,942,268.0,
1969,1969-12-10 00:06:00,0.741,34.4,van Bladeren Record,34.4,0.0,743,211.0,
1970,1971-01-22 14:48:00,1.798,228.6,van Bladeren Record,228.6,0.0,1397,272.0,
1971,1972-01-24 12:12:00,1.655,185.2,van Bladeren Record,185.2,0.0,1225,304.0,
1972,1973-02-28 06:30:00,0.563,18.6,van Bladeren Record,18.6,0.0,711,219.0,
1973,1974-01-30 23:42:00,1.0959999999999999,74.5,van Bladeren Record,74.5,0.0,858,237.0,
1974,1975-02-21 02:30:00,2.474,561.5,van Bladeren Record,561.5,0.0,781,214.0,
1975,1976-02-12 18:30:00,3.41,1392.7,van Bladeren Record,1205.43137254902,3.3333333333333433,816,222.0,
1976,1977-03-07 02:24:00,2.51,586.7,van Bladeren Record,586.7,0.0,1327,259.0,
1977,1978-01-24 04:12:00,1.73,207.0,van Bladeren Record,207.0,0.0,1963,273.0,
1978,1979-03-07 03:24:00,0.39899999999999997,6.7,van Bladeren Record,6.7,0.0,966,280.0,
1979,1980-02-21 02:48:00,2.18,386.7,van Bladeren Record,386.7,0.0,938,270.0,
1980,1981-01-09 19:48:00,1.39,122.6,van Bladeren Record,122.6,0.0,1203,269.0,
1981,1982-01-25 20:18:00,0.42200000000000004,8.0,van Bladeren Record,8.0,0.0,830,305.0,
1982,1982-12-10 23:54:00,0.115,0.7,van Bladeren Record,0.7,0.0,172,97.0,
1983,1984-01-16 02:30:00,0.39899999999999997,6.7,van Bladeren Record,6.7,0.0,147,69.0,
1984,1985-02-09 17:18:00,0.7,30.4,van Bladeren Record,30.4,0.0,606,230.0,
1985,1986-01-08 18:06:00,0.083,0.4,van Bladeren Record,0.4,0.0,61,45.0,
1986,1986-12-12 00:18:00,0.72,32.3,van Bladeren Record,32.3,0.0,289,141.0,
1987,1988-03-13 13:54:00,0.9440000000000001,56.5,van Bladeren Record,56.5,0.0,412,211.0,
1988,1989-02-27 17:06:00,0.6940000000000001,29.8,van Bladeren Record,29.8,0.0,350,204.0,
1989,1989-12-15 04:24:00,0.461,10.4,van Bladeren Record,10.4,0.0,381,225.0,
1990,1991-03-25 22:00:00,1.087,73.3,van Bladeren Record,73.3,0.0,295,116.0,
1993,1994-02-09 07:48:00,1.276,101.6,van Bladeren Record,101.6,0.0,399,195.0,
1994,1995-04-03 00:12:00,0.23199999999999998,1.871,,1.871,0.0,77,52.0,
1995,1996-02-13 00:24:00,3.236,1082.892,,1082.892,0.0,610,198.0,
1996,1997-03-06 23:00:00,1.189,89.229,,89.229,0.0,477,233.0,
1997,1998-01-06 03:36:00,0.5670000000000001,18.455,,18.455,0.0,577,279.0,
1998,1999-03-25 14:00:00,0.33799999999999997,3.855,,3.855,0.0,919,175.0,
1999,2000-02-13 13:48:00,2.661,681.2189999999999,,681.2189999999999,0.0,6304,259.0,
2000,2001-03-01 14:06:00,1.084,74.72399999999999,,74.72399999999999,0.0,2650,317.0,
2001,2001-11-29 16:42:00,1.298,105.23899999999999,,105.23899999999999,0.0,10487,260.0,
2002,2002-12-31 21:18:00,0.33299999999999996,3.66,,3.66,0.0,4658,348.0,
2003,2004-03-06 19:06:00,1.534,158.268,,158.268,0.0,10213,366.0,
2004,2004-12-11 16:48:00,0.379,5.74,,5.74,0.0,20008,365.0,
2005,2006-03-04 20:26:00,1.876,269.606,,269.606,0.0,43745,365.0,
2006,2007-01-03 07:58:00,0.262,2.231,,2.231,0.0,44355,365.0,
2007,2008-01-24 10:26:00,1.994,316.894,,316.894,0.0,44351,366.0,
2008,2009-01-31 10:33:00,1.876,269.606,,269.606,0.0,42720,364.0,
2009,2010-04-03 20:25:00,1.828,251.71900000000002,,251.71900000000002,0.0,33363,346.0,
2010,2011-01-07 14:42:00,1.371,116.73200000000001,,116.73200000000001,0.0,41146,365.0,
2011,2012-01-23 17:32:00,1.2209999999999999,93.84,,93.84,0.0,40657,366.0,
2012,2013-01-28 21:10:00,0.584,20.215,,20.215,0.0,20444,365.0,
2013,2014-03-12 15:36:00,3.08,976.0,,976.0,0.0,37671,365.0,
2014,2015-02-03 06:36:00,0.688,29.546,,29.546,0.0,33470,364.0,
2015,2016-03-19 22:24:00,0.529,15.455,,15.455,0.0,43680,366.0,
2016,2017-02-23 22:24:00,0.9,52.485,,52.485,0.0,38141,321.0,
2017,2018-05-16 08:12:00,0.204,1.554,,1.554,0.0,16973,143.0,
