,GEV,GLO,GPA,LNO,LP3,PE3
2,77.6010564675,78.3995106647,76.0907608651,77.4707856062,78.2526386438,77.2004182896
5,120.841960586,118.028588831,127.692948355,121.593483479,123.911077292,123.082935187
10,151.156584217,147.146239981,158.145805157,151.920302354,154.589732652,153.503169959
20,181.565095112,178.730205105,182.764937704,181.713581532,183.805448731,182.163876951
50,222.956279151,226.588212943,208.225645182,221.366695628,221.091526478,218.386188104
100,255.548085101,268.795718137,223.251195777,251.988433734,248.607097171,244.926695258
200,289.427614096,317.325727451,235.398365551,283.36834763,275.671497609,270.926306321
