Hydroyear,DATE,COR.LEVEL,COR.FLOW,COMMENTS,EXT.FLOW,PERC.EXC,NUMREC,NUMDAYS,Exclusion Comments
1970,1971-01-22 12:24:00,0.581,0.94,van Bladeren Record,0.94,0,268,97.0,
1971,1972-02-26 04:30:00,1.23,11.18,van Bladeren Record,11.18,0,617,162.0,
1972,1973-02-01 02:54:00,0.632,1.21,van Bladeren Record,1.21,0,240,105.0,
1973,1974-01-19 14:54:00,1.251,11.66,van Bladeren Record,11.66,0,873,211.0,
1974,1975-01-28 14:12:00,0.856,3.88,van Bladeren Record,3.88,0,713,170.0,
1975,1976-03-19 16:36:00,1.42,15.58,van Bladeren Record,15.58,0,703,182.0,
1976,1977-03-12 05:24:00,0.672,1.56,van Bladeren Record,1.56,0,574,177.0,
1977,1978-01-28 05:48:00,1.03,6.9,van Bladeren Record,6.9,0,962,183.0,
1978,1979-02-19 20:42:00,1.99,40.35,van Bladeren Record,40.35,0,500,170.0,
1979,1979-11-25 19:06:00,1.04,7.1,van Bladeren Record,7.1,0,535,140.0,
1980,1981-03-08 17:24:00,0.664,1.48,van Bladeren Record,1.48,0,442,140.0,
1981,1981-10-04 11:12:00,0.396,0.27,van Bladeren Record,0.27,0,235,115.0,
1982,1982-11-03 08:24:00,0.25,0.04,van Bladeren Record,0.04,0,196,107.0,
1983,1984-03-24 10:06:00,0.9109999999999999,4.74,van Bladeren Record,4.74,0,236,116.0,
1984,1985-01-17 09:42:00,0.32,0.09,van Bladeren Record,0.09,0,171,98.0,
1985,1986-02-07 15:00:00,0.45799999999999996,0.46,van Bladeren Record,0.46,0,228,121.0,
1986,1987-09-27 15:18:00,0.833,3.54,van Bladeren Record,3.54,0,413,163.0,
1987,1988-03-12 11:48:00,1.071,7.72,van Bladeren Record,7.72,0,432,170.0,
1988,1989-02-22 13:18:00,0.7440000000000001,2.35,van Bladeren Record,2.35,0,306,107.0,
1989,1990-03-08 17:24:00,0.8190000000000001,3.34,van Bladeren Record,3.34,0,458,166.0,
1990,1991-03-18 18:30:00,1.153,9.45,van Bladeren Record,9.45,0,405,141.0,
1991,1991-12-20 17:00:00,0.43700000000000006,0.39,van Bladeren Record,0.39,0,202,98.0,
1992,1993-01-23 14:06:00,0.493,0.58,van Bladeren Record,0.58,0,239,108.0,
1993,1994-01-22 21:36:00,0.8320000000000001,3.52,van Bladeren Record,3.52,0,320,111.0,
1994,1995-03-25 21:24:00,0.878,3.793,,3.793,0,252,98.0,
1995,1995-12-17 11:42:00,1.4040000000000001,15.193,,15.193,0,583,173.0,
1996,1996-10-23 19:00:00,1.482,18.664,,18.664,0,516,142.0,
1997,1998-03-13 04:24:00,0.9179999999999999,4.322,,4.322,0,525,170.0,
1998,1998-12-01 21:48:00,1.015,5.667999999999999,,5.667999999999999,0,534,154.0,
1999,2000-02-08 07:47:00,1.694,26.085,,26.085,0,395,93.0,
2000,2001-09-12 21:36:00,0.321,0.09,,0.09,0,36,18.0,Excluded: Less than 91 days (1 Hydroquarter)
2001,2001-10-31 21:58:00,0.706,1.8090000000000002,,1.8090000000000002,0,614,189.0,
2002,2003-01-24 22:14:00,0.44799999999999995,0.4,,0.4,0,419,155.0,
2003,2004-01-21 00:57:00,0.975,5.09,,5.09,0,786,252.0,
2004,2005-04-04 05:04:00,0.462,0.445,,0.445,0,1081,342.0,
2005,2006-02-11 09:53:00,1.743,27.401999999999997,,27.401999999999997,0,766,204.0,
2006,2006-11-17 09:01:00,0.349,0.14300000000000002,,0.14300000000000002,0,1054,281.0,
2007,2008-03-17 05:49:00,0.757,2.307,,2.307,0,1005,257.0,
2008,2009-03-19 07:12:00,0.772,2.468,,2.468,0,1189,254.0,
2009,2010-01-26 03:35:00,0.993,5.346,,5.346,0,751,218.0,
2010,2011-03-27 11:14:00,1.285,11.020999999999999,,11.020999999999999,0,5384,268.0,
2011,2011-12-27 06:07:00,0.9359999999999999,4.558,,4.558,0,23261,366.0,
2012,2013-01-02 09:39:00,0.7390000000000001,2.123,,2.123,0,23264,365.0,
2013,2014-03-11 22:27:00,1.365,13.689,,13.689,0,29491,365.0,
2014,2014-12-28 17:34:00,0.519,0.648,,0.648,0,18391,365.0,
2015,2016-05-15 19:32:00,0.28800000000000003,0.062,,0.062,0,11827,202.0,
2016,2017-01-26 12:11:00,0.9329999999999999,4.518,,4.518,0,4728,73.0,Excluded: Less than 91 days (1 Hydroquarter)
2017,2017-10-10 11:25:00,0.25,0.043,,0.043,0,7,6.0,Excluded: Less than 91 days (1 Hydroquarter)
