,GEV,GLO,GPA,LNO,LP3,PE3
2,12.814700209,13.0225143107,12.2679677787,12.4372408571,12.4121134064,11.7547090495
5,25.4406454651,25.0588465781,26.9000836767,26.301533166,26.5241331231,28.0846978414
10,37.1344189396,36.1680407472,39.7946050074,39.0381103888,40.2743119973,41.8846150354
20,51.7515238042,50.3971059403,54.5082707727,54.1488807314,57.4844199047,56.3118088842
50,77.2806919344,76.294931536,77.1915395374,78.3204152111,86.823574038,75.9769024435
100,102.891691665,103.4868811,97.1811223821,100.203722275,115.10702894,91.1556934407
200,135.69697098,139.810409346,119.990812887,125.573428814,149.744548078,106.521446421
