,GEV,GLO,GPA,LNO,LP3,PE3
2,36.205261897,37.0706023227,33.717161216,34.0517609647,27.6781248442,29.9102247041
5,94.0788250738,92.7026753249,100.223489498,98.512644718,101.531663979,108.238317711
10,150.358453474,146.331771522,162.658216607,161.349769241,187.89376803,178.466750933
20,223.501226371,217.25898364,237.924931621,238.881308198,302.548668679,253.539006089
50,357.05090893,351.02111434,361.669537915,367.761968884,500.094906382,357.362719866
100,496.860930683,496.251831449,477.838343575,488.350231255,685.793950884,438.23357497
200,682.692432986,695.952590842,617.882911619,631.790289159,903.610428551,520.538449858
