Hydroyear,DATE,COR.LEVEL,COR.FLOW,COMMENTS,EXT.FLOW,PERC.EXC,NUMREC,NUMDAYS,Exclusion Comments
1965,1966-02-06 11:48:00,0.968,54.0,van Bladeren Record,54.0,0,1249,263.0,
1966,1967-03-21 08:30:00,1.71,157.0,van Bladeren Record,157.0,0,2010,325.0,
1967,1967-12-05 13:30:00,0.9740000000000001,55.0,van Bladeren Record,55.0,0,1297,300.0,
1968,1969-03-12 13:00:00,0.624,21.0,van Bladeren Record,21.0,0,1199,269.0,
1969,1969-12-08 21:36:00,1.65,149.0,van Bladeren Record,149.0,0,1672,327.0,
1970,1971-04-08 10:54:00,1.653,149.0,van Bladeren Record,149.0,0,1525,234.0,
1971,1972-01-21 07:12:00,2.375,270.0,van Bladeren Record,270.0,0,1868,329.0,
1972,1972-12-26 02:48:00,1.601,141.0,van Bladeren Record,141.0,0,2986,363.0,
1973,1974-04-03 08:00:00,1.165,81.0,van Bladeren Record,81.0,0,2571,352.0,
1974,1975-01-28 12:06:00,2.362,266.0,van Bladeren Record,266.0,0,2854,360.0,
1975,1976-05-04 04:42:00,2.0669999999999997,215.0,van Bladeren Record,215.0,0,2724,365.0,
1976,1977-02-01 02:30:00,3.2539999999999996,448.0,van Bladeren Record,448.0,0,2752,365.0,
1977,1978-01-28 09:00:00,2.1,220.0,van Bladeren Record,220.0,0,2532,363.0,
1978,1979-02-08 00:06:00,0.843,40.0,van Bladeren Record,40.0,0,2165,364.0,
1979,1980-01-07 22:30:00,1.98,200.0,van Bladeren Record,200.0,0,2950,332.0,
1980,1981-03-04 06:00:00,1.71,157.0,van Bladeren Record,157.0,0,2691,349.0,
1981,1981-10-04 17:12:00,1.09,70.0,van Bladeren Record,70.0,0,2227,356.0,
1982,1982-12-11 00:30:00,1.06,66.0,van Bladeren Record,66.0,0,1795,308.0,
1983,1983-11-08 00:18:00,1.37,110.0,van Bladeren Record,110.0,0,1742,325.0,
1984,1985-01-20 00:06:00,2.14,227.0,van Bladeren Record,227.0,0,1501,330.0,
1985,1985-10-31 01:48:00,1.506,129.0,van Bladeren Record,129.0,0,1907,350.0,
1986,1987-02-07 03:12:00,2.9360000000000004,380.0,van Bladeren Record,380.0,0,2230,349.0,
1987,1988-03-12 11:54:00,2.73,337.0,van Bladeren Record,337.0,0,2001,353.0,
1988,1989-03-01 22:00:00,2.596,311.0,van Bladeren Record,311.0,0,2734,365.0,
1989,1989-11-29 01:06:00,1.42,116.0,van Bladeren Record,116.0,0,2901,365.0,
1990,1990-12-06 23:30:00,1.704,156.0,van Bladeren Record,156.0,0,2886,365.0,
1991,1991-12-27 07:36:00,1.125,75.0,van Bladeren Record,75.0,0,3569,366.0,
1992,1992-11-09 01:30:00,1.1909999999999998,85.0,van Bladeren Record,85.0,0,2677,359.0,
1993,1994-01-01 18:06:00,2.202,237.0,van Bladeren Record,237.0,0,3192,365.0,
1994,1995-03-26 11:48:00,3.0839999999999996,441.64599999999996,,441.64599999999996,0,2795,362.0,
1995,1996-02-14 05:48:00,2.694,389.194,,389.194,0,2173,362.0,
1996,1997-01-17 04:18:00,3.227,462.343,,462.343,0,2248,361.0,
1997,1997-11-13 00:42:00,1.83,249.63299999999998,,249.63299999999998,0,2415,358.0,
1998,1998-11-19 20:00:00,1.8219999999999998,247.99,,247.99,0,2681,364.0,
1999,2000-02-08 20:21:00,4.359,729.12,,729.12,0,1474,315.0,
2000,2001-09-13 10:58:00,2.214,323.392,,323.392,0,2049,361.0,
2001,2001-10-26 00:14:00,1.899,263.597,,263.597,0,2005,361.0,
2002,2003-02-20 14:40:00,1.5630000000000002,191.315,,191.315,0,6168,352.0,
2003,2003-10-19 16:24:00,1.508,178.37400000000002,,178.37400000000002,0,17709,366.0,
2004,2005-01-09 02:05:00,2.9730000000000003,426.181,,426.181,0,34197,365.0,
2005,2006-01-12 06:22:00,3.141,449.829,,449.829,0,43429,365.0,
2006,2006-12-25 23:00:00,1.558,190.247,,190.247,0,42700,365.0,
2007,2008-02-04 20:12:00,2.19,319.052,,319.052,0,39941,366.0,
2008,2008-11-13 03:12:00,2.265,332.56699999999995,,332.56699999999995,0,39347,365.0,
2009,2010-01-29 23:00:00,3.0660000000000003,439.106,,439.106,0,33548,365.0,
2010,2010-12-16 10:36:00,3.3760000000000003,484.76599999999996,,484.76599999999996,0,30458,365.0,
2011,2011-11-22 21:48:00,2.056,294.14,,294.14,0,32261,366.0,
2012,2013-04-20 03:36:00,2.115,305.22,,305.22,0,34619,365.0,
2013,2014-02-03 10:59:00,2.7880000000000003,401.32800000000003,,401.32800000000003,0,35362,365.0,
2014,2015-02-17 02:48:00,1.974,278.39599999999996,,278.39599999999996,0,38077,365.0,
2015,2016-03-10 03:49:00,2.188,318.67400000000004,,318.67400000000004,0,33769,366.0,
2016,2016-11-09 22:36:00,3.233,463.224,,463.224,0,36977,365.0,
2017,2018-03-23 08:20:00,3.037,435.03,,435.03,0,21524,232.0,
