Hydroyear,DATE,COR.LEVEL,COR.FLOW,COMMENTS,EXT.FLOW,PERC.EXC,NUMREC,NUMDAYS,Exclusion Comments
1972,1973-04-13 19:42:00,0.504,2.197,,2.197,0,135,46.0,Excluded: Less than 91 days (1 Hydroquarter)
1973,1974-01-01 19:42:00,0.937,11.5,van Bladeren Record,11.5,0,1084,292.0,
1974,1975-04-13 20:18:00,1.07,16.2,van Bladeren Record,16.2,0,1615,328.0,
1975,1976-01-15 18:18:00,1.32,26.8,van Bladeren Record,26.8,0,1058,233.0,
1976,1977-02-01 05:18:00,2.017,65.8,van Bladeren Record,65.8,0,2865,353.0,
1977,1978-01-28 04:06:00,3.014,146.3,van Bladeren Record,146.3,0,3625,359.0,
1978,1979-03-02 21:00:00,0.48,2.0,van Bladeren Record,2.0,0,3166,360.0,
1979,1979-11-26 01:18:00,0.867,9.4,van Bladeren Record,9.4,0,4385,360.0,
1980,1981-03-04 06:18:00,1.03,14.7,van Bladeren Record,14.7,0,3924,359.0,
1981,1982-01-28 20:54:00,0.9209999999999999,11.0,van Bladeren Record,11.0,0,3570,365.0,
1982,1982-12-14 19:24:00,0.41,1.4,van Bladeren Record,1.4,0,1874,344.0,
1983,1983-12-06 16:48:00,0.6970000000000001,5.2,van Bladeren Record,5.2,0,2304,366.0,
1984,1985-01-17 08:48:00,0.904,10.5,van Bladeren Record,10.5,0,1500,265.0,
1985,1985-11-02 05:36:00,0.787,7.2,van Bladeren Record,7.2,0,1980,357.0,
1986,1987-01-09 22:42:00,1.204,21.7,van Bladeren Record,21.7,0,2898,358.0,
1987,1988-03-12 12:00:00,1.574,39.5,van Bladeren Record,39.5,0,2740,362.0,
1988,1988-12-25 06:48:00,0.75,6.3,van Bladeren Record,6.3,0,2627,365.0,
1989,1990-04-29 10:30:00,0.7490000000000001,6.3,van Bladeren Record,6.3,0,2577,365.0,
1990,1991-02-18 15:00:00,1.068,16.2,van Bladeren Record,16.2,0,2539,365.0,
1991,1991-10-16 18:12:00,0.47700000000000004,2.0,van Bladeren Record,2.0,0,2218,360.0,
1992,1992-12-21 20:00:00,1.171,20.3,van Bladeren Record,20.3,0,2427,365.0,
1993,1994-02-12 20:24:00,1.222,22.4,van Bladeren Record,22.4,0,2421,365.0,
1994,1995-01-22 06:30:00,1.1520000000000001,19.847,,19.847,0,2568,365.0,
1995,1996-02-14 04:36:00,2.0669999999999997,74.148,,74.148,0,2311,366.0,
1996,1997-03-06 00:48:00,2.048,72.62100000000001,,72.62100000000001,0,2650,359.0,
1997,1998-01-02 03:12:00,1.078,16.813,,16.813,0,2629,360.0,
1998,1999-01-31 19:48:00,1.041,15.376,,15.376,0,2380,362.0,
1999,2000-02-10 06:02:00,1.834,56.665,,56.665,0,2318,341.0,
2000,2000-12-10 09:08:00,1.013,14.349,,14.349,0,2746,361.0,
2001,2001-11-16 23:00:00,1.102,17.774,,17.774,0,13725,335.0,
2002,2002-12-07 01:00:00,0.785,7.145,,7.145,0,43752,365.0,
2003,2003-11-23 21:21:00,1.591,41.992,,41.992,0,39845,366.0,
2004,2005-01-21 09:30:00,0.9309999999999999,11.465,,11.465,0,42173,365.0,
2005,2006-02-09 09:22:00,2.639,130.71200000000002,,130.71200000000002,0,39211,365.0,
2006,2006-10-11 18:24:00,0.95,12.106,,12.106,0,32407,361.0,
2007,2008-03-30 03:24:00,1.528,38.181,,38.181,0,31148,366.0,
2008,2009-02-10 19:48:00,1.3230000000000002,27.593000000000004,,27.593000000000004,0,37140,364.0,
2009,2010-03-31 21:38:00,1.374,30.084,,30.084,0,35539,365.0,
2010,2010-12-16 07:52:00,2.4330000000000003,108.01100000000001,,108.01100000000001,0,36744,365.0,
2011,2012-02-20 08:00:00,2.419,106.557,,106.557,0,34963,366.0,
2012,2013-04-20 04:12:00,1.15,19.762999999999998,,19.762999999999998,0,37650,365.0,
2013,2014-02-03 10:00:00,3.19,203.937,,203.937,0,40611,365.0,
2014,2015-02-17 03:21:00,1.466,34.97,,34.97,0,40614,365.0,
2015,2016-03-10 05:50:00,1.6480000000000001,44.915,,44.915,0,35177,366.0,
2016,2017-02-21 23:12:00,1.8980000000000001,61.208999999999996,,61.208999999999996,0,39099,364.0,
2017,2017-11-12 20:43:00,1.126,18.758,,18.758,0,12413,120.0,
