Hydroyear,DATE,COR.LEVEL,COR.FLOW,COMMENTS,EXT.FLOW,PERC.EXC,NUMREC,NUMDAYS,Exclusion Comments
1963,1964-08-28 07:00:00,0.0,0.0,,0.0,0,5,5.0,Excluded: Less than 91 days (1 Hydroquarter)
1964,1964-12-30 15:48:00,1.367,16.01,van Bladeren Record,16.01,0,1134,236.0,
1965,1965-12-22 02:00:00,0.7,1.9,van Bladeren Record,1.9,0,354,118.0,
1966,1967-02-10 11:36:00,1.619,24.17,van Bladeren Record,24.17,0,1653,234.0,
1967,1968-01-30 17:24:00,0.7120000000000001,2.04,van Bladeren Record,2.04,0,557,171.0,
1968,1969-03-13 23:00:00,1.225,12.16,van Bladeren Record,12.16,0,752,193.0,
1969,1969-12-08 14:24:00,1.52,21.91,van Bladeren Record,21.91,0,944,230.0,
1970,1971-02-09 16:36:00,1.062,8.21,van Bladeren Record,8.21,0,1046,216.0,
1971,1972-02-20 21:48:00,1.67,26.16,van Bladeren Record,26.16,0,852,200.0,
1972,1972-12-12 13:24:00,1.062,8.21,van Bladeren Record,8.21,0,594,202.0,
1973,1973-12-20 15:48:00,1.5519999999999998,21.55,van Bladeren Record,21.55,0,685,219.0,
1974,1975-02-22 03:00:00,1.96,39.67,van Bladeren Record,39.67,0,794,207.0,
1975,1976-02-07 11:00:00,1.611,23.79,van Bladeren Record,23.79,0,894,231.0,
1976,1977-03-02 12:00:00,1.03,7.5,van Bladeren Record,7.5,0,1370,319.0,
1977,1978-01-12 00:00:00,1.55,21.55,van Bladeren Record,21.55,0,1286,304.0,
1978,1978-11-04 05:00:00,0.322,0.09,van Bladeren Record,0.09,0,1115,271.0,
1979,1979-12-26 11:48:00,1.57,22.28,van Bladeren Record,22.28,0,1439,301.0,
1980,1980-12-02 13:30:00,0.8,3.25,van Bladeren Record,3.25,0,1083,255.0,
1981,1982-01-22 17:54:00,0.8140000000000001,3.47,van Bladeren Record,3.47,0,796,245.0,
1982,1983-03-21 18:18:00,0.763,2.71,van Bladeren Record,2.71,0,406,161.0,
1983,1984-01-13 22:18:00,0.9059999999999999,5.01,van Bladeren Record,5.01,0,460,162.0,
1984,1985-03-13 14:30:00,1.14,10.03,van Bladeren Record,10.03,0,384,179.0,
1985,1986-01-07 16:30:00,0.8240000000000001,3.62,van Bladeren Record,3.62,0,270,141.0,
1986,1986-12-29 11:42:00,0.429,0.36,van Bladeren Record,0.36,0,313,158.0,
1987,1987-12-17 14:06:00,1.985,51.69,van Bladeren Record,51.69,0,678,213.0,
1988,1988-11-29 12:54:00,0.8370000000000001,3.83,van Bladeren Record,3.83,0,454,172.0,
1989,1990-03-28 13:30:00,0.6,1.02,van Bladeren Record,1.02,0,422,176.0,
1990,1991-03-21 19:48:00,0.675,1.62,van Bladeren Record,1.62,0,428,170.0,
1991,1992-01-11 09:12:00,0.545,0.79,van Bladeren Record,0.79,0,270,143.0,
1992,1992-12-13 18:48:00,0.08,0.0,van Bladeren Record,0.0,0,235,159.0,
1993,1994-02-07 23:24:00,1.162,10.57,van Bladeren Record,10.57,0,343,186.0,
1994,1995-01-16 13:36:00,0.943,5.35,,5.35,0,444,182.0,
1995,1996-02-12 05:48:00,1.685,25.26,,25.26,0,635,234.0,
1996,1996-12-19 14:24:00,1.083,8.121,,8.121,0,785,260.0,
1997,1997-11-13 01:57:00,0.64,1.207,,1.207,0,920,301.0,
1998,1998-12-29 16:45:00,0.856,3.957,,3.957,0,5336,322.0,
1999,2000-01-17 02:06:00,1.52,19.223,,19.223,0,43920,366.0,
2000,2001-02-26 19:06:00,1.02,6.819,,6.819,0,42641,365.0,
2001,2001-12-20 19:06:00,2.0140000000000002,45.551,,45.551,0,4787,222.0,
2002,2002-12-17 04:23:00,1.392,15.530999999999999,,15.530999999999999,0,12401,365.0,
2003,2004-03-23 16:12:00,1.095,8.453,,8.453,0,3662,366.0,
2004,2004-11-13 14:00:00,0.461,0.431,,0.431,0,17146,363.0,
2005,2006-02-27 03:31:00,1.262,12.296,,12.296,0,41007,365.0,
2006,2007-03-29 13:52:00,0.375,0.18100000000000002,,0.18100000000000002,0,43799,365.0,
2007,2008-01-10 19:04:00,0.872,4.221,,4.221,0,43306,366.0,
2008,2009-02-28 15:16:00,0.988,6.191,,6.191,0,43471,365.0,
2009,2010-04-02 19:41:00,1.294,13.069,,13.069,0,47010,365.0,
2010,2011-01-27 16:29:00,0.828,3.511,,3.511,0,43182,365.0,
2011,2012-01-14 20:55:00,0.7140000000000001,1.9569999999999999,,1.9569999999999999,0,41253,366.0,
2012,2013-01-20 04:36:00,1.115,8.957,,8.957,0,29542,249.0,
2013,2014-03-05 12:36:00,1.156,9.851,,9.851,0,42813,365.0,
2014,2014-12-28 19:11:00,1.5230000000000001,19.3,,19.3,0,43722,365.0,
2015,2016-07-27 09:48:00,0.15,0.012,,0.012,0,41630,366.0,
2016,2017-03-10 08:17:00,0.644,1.239,,1.239,0,43801,365.0,
2017,2017-12-06 15:27:00,0.19399999999999998,0.023,,0.023,0,13800,115.0,
