,GEV,GLO,GPA,LNO,LP3,PE3
2,5.95266362335,6.06329730862,5.71905888946,5.89222985999,5.97254281202,5.79940579887
5,11.7481889722,11.4426169949,12.589514664,11.9552337709,13.1894692923,12.3282199404
10,16.2558430896,15.7292535677,17.3374976647,16.5617436904,17.8059551965,17.0140321032
20,21.1619209274,20.6605460602,21.7304392355,21.3892577142,21.6735977836,21.5943717278
50,28.4841953041,28.6316994194,27.037549236,28.2306206316,25.7561789471,27.549419609
100,34.7935121357,36.1100356357,30.7051469752,33.8099232151,28.1835336138,32.0028375067
200,41.8799704679,45.1767056661,34.0984915956,39.7737393274,30.1430317796,36.4241259139
