Hydroyear,DATE,COR.LEVEL,COR.FLOW,COMMENTS,EXT.FLOW,PERC.EXC,NUMREC,NUMDAYS,Exclusion Comments
1972,1973-09-28 08:54:00,0.018000000000000002,0.008,,0.008,0.0,13,9.0,Excluded: Less than 91 days (1 Hydroquarter)
1973,1974-01-01 22:30:00,0.773,4.81,van Bladeren Record,4.81,0.0,503,159.0,
1974,1975-02-22 02:42:00,1.67,37.0,van Bladeren Record,37.0,0.0,650,172.0,
1975,1976-02-12 13:06:00,1.15,14.84,van Bladeren Record,14.84,0.0,517,160.0,
1976,1977-03-06 15:18:00,0.887,6.97,van Bladeren Record,6.97,0.0,702,213.0,
1977,1978-02-17 02:36:00,0.708,3.75,van Bladeren Record,3.75,0.0,1358,198.0,
1978,1978-10-19 04:54:00,0.04,0.03,van Bladeren Record,0.03,0.0,585,131.0,
1979,1980-03-02 22:36:00,0.8540000000000001,6.3,van Bladeren Record,6.3,0.0,1158,180.0,
1980,1980-12-03 08:06:00,0.40700000000000003,1.02,van Bladeren Record,1.02,0.0,435,137.0,
1981,1982-01-23 13:18:00,0.355,0.75,van Bladeren Record,0.75,0.0,242,107.0,
1982,1983-04-12 19:00:00,0.08800000000000001,0.09,van Bladeren Record,0.09,0.0,138,73.0,
1983,1983-11-07 02:06:00,0.687,3.43,van Bladeren Record,3.43,0.0,650,168.0,
1984,1985-03-16 15:48:00,0.601,2.36,van Bladeren Record,2.36,0.0,244,107.0,
1985,1986-02-01 17:42:00,0.271,0.45,van Bladeren Record,0.45,0.0,165,81.0,
1986,1987-04-24 23:54:00,0.158,0.21,van Bladeren Record,0.21,0.0,116,60.0,
1987,1988-03-06 13:00:00,0.82,5.64,van Bladeren Record,5.64,0.0,645,166.0,
1988,1989-01-23 17:06:00,0.24600000000000002,0.39,van Bladeren Record,0.39,0.0,164,92.0,
1989,1989-12-10 01:06:00,1.358,23.15,van Bladeren Record,23.15,0.0,157,85.0,
1990,1991-03-18 05:42:00,0.38299999999999995,0.89,van Bladeren Record,0.89,0.0,280,123.0,
1991,1991-11-02 15:36:00,0.015,0.01,van Bladeren Record,0.01,0.0,54,43.0,
1992,1992-10-05 15:48:00,0.0,0.0,van Bladeren Record,0.0,0.0,26,26.0,
1993,1994-02-09 02:48:00,0.251,0.369,,0.369,0.0,78,48.0,
1994,1995-01-20 15:54:00,0.11,0.11699999999999999,,0.11699999999999999,0.0,107,60.0,
1995,1996-02-12 18:30:00,2.0709999999999997,42.282,,66.16283333333342,21.823529411764696,363,120.0,Excluded: RT exceeded 21.8%
1996,1996-12-19 16:54:00,2.052,42.282,,64.93733333333344,20.705882352941185,334,108.0,Excluded: RT exceeded 20.7%
1997,1997-11-13 09:30:00,0.28,0.429,,0.429,0.0,316,124.0,
1998,1998-12-30 18:06:00,0.601,2.247,,2.247,0.0,32871,319.0,
1999,2000-02-08 13:54:00,1.27,19.974,,19.974,0.0,43920,366.0,
2000,2001-02-26 19:42:00,0.963,8.787,,8.787,0.0,43800,365.0,
2001,2001-12-18 03:42:00,1.238,18.607,,18.607,0.0,43800,365.0,
2002,2002-10-28 22:06:00,0.249,0.365,,0.365,0.0,43800,365.0,
2003,2004-01-19 04:18:00,0.18100000000000002,0.23600000000000002,,0.23600000000000002,0.0,43922,366.0,
2004,2004-10-01 00:06:00,0.027999999999999997,0.016,,0.016,0.0,45961,365.0,
2005,2006-02-27 02:35:00,0.8440000000000001,5.962999999999999,,5.962999999999999,0.0,38349,365.0,
2006,2006-12-19 21:58:00,0.06,0.049,,0.049,0.0,45149,365.0,
2007,2008-01-10 21:28:00,0.633,2.5540000000000003,,2.5540000000000003,0.0,33657,366.0,
2008,2009-02-05 09:32:00,0.634,2.5660000000000003,,2.5660000000000003,0.0,36679,365.0,
2009,2010-04-04 16:23:00,0.9159999999999999,7.505,,7.505,0.0,43679,365.0,
2010,2011-04-18 13:20:00,0.32899999999999996,0.568,,0.568,0.0,43766,365.0,
2011,2012-01-14 01:36:00,0.273,0.414,,0.414,0.0,32647,366.0,
2012,2013-01-20 04:21:00,0.855,6.178,,6.178,0.0,10933,314.0,
2013,2014-03-07 15:29:00,0.912,7.403,,7.403,0.0,7095,341.0,
2014,2014-12-17 12:05:00,0.41700000000000004,0.995,,0.995,0.0,36317,351.0,
2015,2015-12-08 06:19:00,0.043,0.03,,0.03,0.0,38953,325.0,
2016,2016-12-15 20:00:00,0.228,0.32299999999999995,,0.32299999999999995,0.0,31800,266.0,
2017,2018-04-03 05:36:00,0.295,0.461,,0.461,0.0,23437,233.0,
