,GEV,GLO,GPA,LNO,LP3,PE3
2,140.916612883,143.544415882,132.875356962,133.004422334,133.14187609,117.272163232
5,329.634612318,325.857263314,348.60553835,344.942973331,362.668908006,379.709937198
10,518.458514186,506.221079071,558.563410181,559.172568402,592.883797836,624.392960618
20,769.521177185,749.375098234,819.745822507,829.940315891,875.275645584,889.708572488
50,1240.03528864,1217.79988148,1265.26743864,1290.80298885,1333.50540422,1259.97023636
100,1745.03356298,1736.66259522,1698.86819759,1730.81762434,1747.90240941,1549.97877557
200,2430.96409387,2462.58758769,2238.25684362,2262.54798094,2223.5473652,1846.07194983
