,GEV,GLO,GPA,LNO,LP3,PE3
2,19.0922829999,19.4568274137,17.8168134793,17.5316079669,16.4729612111,14.2734055541
5,49.7353199131,49.3192355927,52.5107150022,52.4245090376,54.3887141394,58.9123312994
10,81.9456051872,80.2465632775,88.3968434557,90.1013157121,95.8786520716,103.91471883
20,126.50202472,123.380091319,135.475665367,139.865162593,148.789704003,154.082005831
50,213.875281289,209.671053418,220.963648876,228.314732911,236.722553473,225.297327194
100,311.790539321,308.698121627,309.389355494,315.940593027,317.065013697,281.647817798
200,449.88427192,451.560526645,425.394571815,424.93666535,409.3868304,339.511862402
