,GEV,GLO,GPA,LNO,LP3,PE3
2,21.4347608569,21.773189287,20.6193102419,21.0161422914,21.1396825303,20.314575404
5,40.3812733638,39.6586991911,42.7798244781,41.4637071143,42.2203427129,43.567517347
10,56.9067518466,55.3297124179,60.7974030705,58.9981844958,60.8772035925,62.0216577877
20,76.6000599121,74.6497000294,79.9718537829,78.8811093333,82.5447673054,80.8441962411
50,109.17512783,108.358297927,107.221442093,109.309643623,116.57045562,106.074758371
100,140.187500615,142.36461723,129.376686043,135.829016104,146.944177262,125.339367273
200,178.150243681,186.251271403,152.954473202,165.675874683,181.815540068,144.714671423
