Hydroyear,DATE,COR.LEVEL,COR.FLOW,COMMENTS,EXT.FLOW,PERC.EXC,NUMREC,NUMDAYS,Exclusion Comments
1972,1973-06-26 14:00:00,0.0,0.0,,0.0,0,15,15.0,Excluded: Duplicated 12.5 Percent
1973,1973-12-19 01:48:00,0.46399999999999997,1.67,van Bladeren Record,1.67,0,324,107.0,
1974,1975-02-22 02:30:00,0.24600000000000002,0.49,van Bladeren Record,0.49,0,302,96.0,
1975,1976-02-12 00:54:00,0.35200000000000004,0.99,van Bladeren Record,0.99,0,565,132.0,
1976,1977-03-11 14:00:00,0.276,0.61,van Bladeren Record,0.61,0,191,63.0,Excluded: Duplicated 8.3 Percent
1977,1978-02-21 11:30:00,0.488,1.83,van Bladeren Record,1.83,0,623,119.0,
1979,1980-02-01 16:24:00,0.401,1.27,van Bladeren Record,1.27,0,801,129.0,
1980,1981-03-10 13:18:00,0.08199999999999999,0.09,van Bladeren Record,0.09,0,119,40.0,
1981,1982-02-06 19:24:00,0.053,0.05,van Bladeren Record,0.05,0,32,20.0,
1982,1982-10-20 12:54:00,0.0,0.0,van Bladeren Record,0.0,0,27,27.0,Excluded: Duplicated 12.5 Percent
1983,1984-02-03 06:54:00,0.159,0.24,van Bladeren Record,0.24,0,67,40.0,
1984,1985-03-13 16:12:00,0.114,0.15,van Bladeren Record,0.15,0,50,29.0,
1985,1985-12-26 22:00:00,0.04,0.04,van Bladeren Record,0.04,0,33,28.0,
1986,1986-10-02 08:30:00,0.0,0.0,van Bladeren Record,0.0,0,26,26.0,Excluded: Duplicated 12.5 Percent
1987,1987-12-26 13:06:00,0.276,0.61,van Bladeren Record,0.61,0,225,76.0,Excluded: Duplicated 8.3 Percent
1988,1989-01-09 03:00:00,0.127,0.18,van Bladeren Record,0.18,0,48,34.0,
1989,1990-03-08 17:00:00,0.222,0.4,van Bladeren Record,0.4,0,83,45.0,
1990,1991-03-06 15:48:00,0.29,0.68,van Bladeren Record,0.68,0,303,98.0,
1991,1991-12-26 22:48:00,0.115,0.15,van Bladeren Record,0.15,0,74,40.0,
1992,1992-11-23 15:30:00,0.16,0.24,van Bladeren Record,0.24,0,194,61.0,
1993,1994-02-07 21:30:00,0.348,0.981,,0.981,0,200,60.0,
1994,1995-01-16 13:00:00,0.313,0.794,,0.794,0,121,41.0,
1995,1996-03-03 13:30:00,0.589,2.648,,2.648,0,222,59.0,
1996,1996-12-09 15:24:00,0.21600000000000003,0.381,,0.381,0,106,47.0,
