Hydroyear,DATE,COR.LEVEL,COR.FLOW,COMMENTS,EXT.FLOW,PERC.EXC,NUMREC,NUMDAYS,Exclusion Comments
1963,1964-04-30 08:00:00,-12.145,0.0,,0.0,0,83,81.0,Excluded: Less than 91 days (1 Hydroquarter)
1964,1964-12-30 09:00:00,-10.534,0.0,,0.0,0,126,104.0,
1965,1966-03-04 13:36:00,-3.9619999999999997,0.0,,0.0,0,112,89.0,
1966,1967-03-10 16:48:00,-2.253,0.0,,0.0,0,144,96.0,
1967,1968-02-16 17:24:00,-1.9780000000000002,0.0,,0.0,0,85,62.0,
1968,1969-04-03 22:24:00,-2.234,0.0,,0.0,0,155,98.0,
1969,1969-12-10 13:24:00,-2.089,0.0,,0.0,0,74,58.0,
1970,1970-10-01 08:36:00,-2.4219999999999997,0.0,,0.0,0,151,108.0,
1971,1972-03-22 11:12:00,0.35600000000000004,13.509,,13.509,0,189,140.0,
1972,1972-10-16 06:00:00,-0.289,0.0,,0.0,0,108,105.0,
1973,1974-02-26 17:48:00,0.6890000000000001,37.641999999999996,,37.641999999999996,0,210,163.0,
1974,1975-02-17 00:48:00,0.82,49.638999999999996,,49.638999999999996,0,208,142.0,
1975,1976-02-01 05:00:00,0.418,17.295,,17.295,0,169,113.0,
1976,1977-02-08 08:00:00,0.74,42.153,,42.153,0,206,152.0,
1977,1978-02-14 09:24:00,0.8740000000000001,54.968,,54.968,0,220,130.0,
1978,1979-03-04 08:00:00,0.26,8.35,,8.35,0,113,97.0,
1979,1980-04-11 12:00:00,0.044000000000000004,0.569,,0.569,0,250,130.0,
1980,1981-01-19 01:12:00,1.156,86.29,,86.29,0,413,219.0,
1981,1981-10-03 18:24:00,-0.5820000000000001,0.0,,0.0,0,264,164.0,
1982,1982-11-26 20:24:00,-2.444,0.0,,0.0,0,184,134.0,
1983,1984-08-28 06:00:00,-3.45,0.0,,0.0,0,155,103.0,
1984,1985-03-20 15:00:00,0.102,2.019,,2.019,0,255,144.0,
1985,1985-10-01 00:00:00,-0.722,0.0,,0.0,0,124,90.0,
1986,1986-10-07 06:00:00,-2.53,0.0,,0.0,0,290,188.0,
1987,1988-04-21 06:24:00,0.051,0.71,,0.71,0,323,185.0,
1988,1988-11-04 00:12:00,-0.054000000000000006,0.0,,0.0,0,235,147.0,
1989,1990-04-13 12:00:00,-2.463,0.0,,0.0,0,181,120.0,
1990,1990-10-01 09:24:00,-3.158,0.0,,0.0,0,234,151.0,
1991,1991-10-01 06:00:00,-5.03,0.0,,0.0,0,134,119.0,
1992,1993-07-03 22:48:00,-2.449,0.0,,0.0,0,210,148.0,
1993,1994-01-02 09:36:00,-2.418,0.0,,0.0,0,166,129.0,
1994,1994-11-10 06:00:00,-8.955,0.0,,0.0,0,209,171.0,
1995,1996-02-15 05:36:00,0.39,15.543,,15.543,0,283,167.0,
1996,1997-01-31 14:48:00,0.22,6.473,,6.473,0,267,174.0,
1997,1997-10-01 14:48:00,-0.068,0.0,,0.0,0,447,224.0,
1998,1999-02-05 06:12:00,0.922,59.888999999999996,,59.888999999999996,0,393,196.0,
1999,2000-02-06 06:14:00,1.36,112.49,,112.49,0,3155,214.0,
2000,2001-03-19 04:06:00,0.37,14.334000000000001,,14.334000000000001,0,1264,204.0,
2001,2001-12-02 00:24:00,0.21,6.03,,6.03,0,6494,306.0,
2002,2002-10-16 00:12:00,-1.28,0.0,,0.0,0,963,297.0,
2003,2004-03-12 07:24:00,0.489,22.039,,22.039,0,1787,179.0,
2004,2004-10-28 13:01:00,-0.09300000000000001,0.0,,0.0,0,19292,316.0,
2005,2006-03-04 20:20:00,0.059000000000000004,0.884,,0.884,0,33585,334.0,
2006,2006-10-01 00:02:00,-1.364,0.0,,0.0,0,43801,365.0,
2007,2008-01-10 03:43:00,0.322,11.581,,11.581,0,43922,366.0,
2008,2008-10-01 06:39:00,-2.149,0.0,,0.0,0,43446,365.0,
2009,2010-05-19 06:49:00,-0.113,0.0,,0.0,0,33769,303.0,
2010,2011-01-20 21:51:00,0.214,6.206,,6.206,0,39391,330.0,
2011,2012-02-27 02:54:00,-1.755,0.0,,0.0,0,32245,271.0,
2012,2013-01-21 01:12:00,0.69,37.728,,37.728,0,23176,331.0,
2013,2014-03-05 22:24:00,0.888,56.386,,56.386,0,23875,346.0,
2014,2014-10-01 00:00:00,-0.15,0.0,,0.0,0,31696,282.0,
2015,2016-09-18 03:24:00,-5.131,0.0,,0.0,0,9452,105.0,
2016,2017-04-15 17:00:00,-0.841,0.0,,0.0,0,27398,247.0,
2017,2018-05-06 03:24:00,-1.2819999999999998,0.0,,0.0,0,23669,199.0,
