,GEV,GLO,GPA,LNO,LP3,PE3
2,7.44049343862,7.61030006634,7.04675425749,7.2686005194,7.25241533962,6.99033010237
5,16.680386329,16.2914742782,17.8988883073,17.1554367442,20.1204728019,18.0534586222
10,24.4979412451,23.7043041549,26.3589854493,25.3553395574,27.7892970075,26.5849105627
20,33.591748293,32.6725174829,35.0413772132,34.4526862202,33.3374696027,35.1851811671
50,48.2268617963,47.9972484693,46.8699798214,48.0814744533,38.1141316762,46.6192346829
100,61.7951856812,63.154909883,56.0913114655,59.7430400439,40.3751720231,55.3021526119
200,78.0278925172,82.3864610989,65.5549396691,72.6816381912,41.8687639253,64.0058301233
