Hydroyear,DATE,COR.LEVEL,COR.FLOW,COMMENTS,EXT.FLOW,PERC.EXC,NUMREC,NUMDAYS,Exclusion Comments
1979,1980-09-18 07:30:00,-3.62,0.0,,0.0,0,37,33.0,
1980,1981-02-07 07:42:00,0.6409999999999999,82.3,,82.3,0,295,149.0,
1981,1981-10-08 07:06:00,0.07,1.835,,1.835,0,178,115.0,
1982,1982-10-05 09:36:00,-1.6780000000000002,0.0,,0.0,0,281,201.0,
1983,1983-10-06 07:54:00,-10.035,0.0,,0.0,0,218,122.0,
1984,1985-04-15 16:24:00,-9.111,0.0,,0.0,0,319,165.0,
1985,1985-10-03 07:36:00,-14.09,0.0,,0.0,0,299,200.0,
1986,1987-02-19 07:42:00,-14.460999999999999,0.0,,0.0,0,369,248.0,
1987,1988-06-06 07:24:00,-2.006,0.0,,0.0,0,304,217.0,
1988,1989-05-09 10:00:00,0.092,2.765,,2.765,0,294,185.0,
1989,1990-06-07 07:30:00,0.02,0.28,,0.28,0,378,216.0,
1990,1991-03-26 21:30:00,0.599,69.235,,69.235,0,242,156.0,
1991,1991-10-03 07:06:00,-0.9229999999999999,0.0,,0.0,0,129,106.0,
1992,1992-10-07 06:30:00,-8.18,0.0,,0.0,0,138,107.0,
1993,1994-03-02 06:42:00,0.23,10.929,,10.929,0,196,145.0,
1994,1994-10-01 06:54:00,-1.254,0.0,,0.0,0,168,133.0,
1995,1996-02-13 07:12:00,2.0580000000000003,913.9939999999999,,913.9939999999999,0,323,168.0,
1996,1997-03-10 05:42:00,0.602,70.131,,70.131,0,230,156.0,
1997,1998-01-30 15:18:00,0.16399999999999998,6.58,,6.58,0,289,192.0,
1998,1999-01-06 10:18:00,0.43,31.128,,31.128,0,309,278.0,
1999,2000-02-18 22:57:00,1.1320000000000001,297.314,,297.314,0,312,310.0,
2000,2001-03-04 15:20:00,0.552,56.031000000000006,,56.031000000000006,0,303,302.0,
2001,2001-11-30 13:08:00,0.73,113.34,,113.34,0,836,288.0,
2002,2002-10-01 08:00:00,-1.06,0.0,,0.0,0,450,337.0,
2003,2004-04-22 16:36:00,0.46,36.227,,36.227,0,1607,310.0,
2004,2004-10-01 00:00:00,-0.456,0.0,,0.0,0,11699,311.0,
2005,2006-03-05 02:14:00,0.94,201.49,,201.49,0,32351,345.0,
2006,2006-10-01 00:08:00,-0.6659999999999999,0.0,,0.0,0,43763,365.0,
2007,2008-01-24 15:21:00,1.19,328.78,,328.78,0,28387,262.0,
2008,2009-02-01 03:32:00,0.826,151.248,,151.248,0,15963,205.0,
2009,2010-04-04 07:01:00,0.893,180.12900000000002,,180.12900000000002,0,31753,284.0,
2010,2011-05-02 00:00:00,0.6659999999999999,90.58,,90.58,0,16567,173.0,
2011,2011-12-25 12:48:00,0.67,91.94,,91.94,0,34887,303.0,
2012,2013-02-07 08:00:00,0.37,22.561999999999998,,22.561999999999998,0,473,316.0,
2013,2014-03-12 19:48:00,2.066,920.2669999999999,,920.2669999999999,0,35044,365.0,
2014,2014-12-23 02:12:00,0.35600000000000004,21.069000000000003,,21.069000000000003,0,14819,261.0,
2015,2015-10-05 00:00:00,-1.215,0.0,,0.0,0,19828,196.0,
2016,2017-03-09 23:12:00,0.302,16.444000000000003,,16.444000000000003,0,35433,302.0,
2017,2017-10-01 01:00:00,-1.5590000000000002,0.0,,0.0,0,9707,106.0,
