,GEV,GLO,GPA,LNO,LP3,PE3
2,0.686829422994,0.700551652221,0.654315802159,0.671234055541,0.635006309321,0.645494666759
5,1.44502757705,1.41482924463,1.54273995807,1.48649759583,1.5334552832,1.56611301224
10,2.09781045273,2.03379726005,2.25230704554,2.17564725362,2.34672770255,2.28768759657
20,2.86775047957,2.79074807945,2.99589188114,2.94978798225,3.27595076149,3.01995495198
50,4.12649159987,4.09969411781,4.03384709274,4.12369687177,4.67962900965,3.99807609362
100,5.3113644519,5.40906658377,4.86284172498,5.13873231563,5.87141307261,4.74317896101
200,6.74766289434,7.08658491175,5.73157964735,6.27412318854,7.17249771086,5.49150019763
