,GEV,GLO,GPA,LNO,LP3,PE3
2,27.0131911894,27.4389449836,25.6772522057,25.636565207,26.3050359267,22.8681149749
5,58.4945254433,57.9073263521,61.593803227,61.0965278025,62.6511415815,67.0818095538
10,90.3218584847,88.3386203463,97.0054293921,97.4278280287,100.538514799,108.937114557
20,132.993095604,129.654394061,141.557294918,143.762534693,150.092937817,154.570983577
50,213.726709879,209.873608351,218.569112339,223.327375234,238.250911275,218.473844512
100,301.167233348,299.387034092,294.498276228,299.868799807,326.338366213,268.629738583
200,420.877795699,425.423493884,390.025826511,392.912195967,437.245960334,319.89840627
