,GEV,GLO,GPA,LNO,LP3,PE3
2,16.5123692263,16.7311047312,15.9334928306,16.1058717563,16.3675816403,15.3674226436
5,29.8829124439,29.4849450641,31.4193317287,30.8031574991,31.177103051,32.7170649835
10,42.3108044474,41.2936436769,45.13072454,44.3625238505,45.4208638898,47.4384436527
20,57.8900419838,56.4538723133,60.84067071,60.4946268879,63.2945574733,62.8529891546
50,85.1884381101,84.1176553532,85.1760346621,86.3708659982,94.1196869897,83.8856259248
100,112.660236654,113.234533916,106.722928992,109.852785745,124.340012002,100.130651572
200,147.944724026,152.211195085,131.410468378,137.125856835,162.027881776,116.5821759
