Hydroyear,DATE,COR.LEVEL,COR.FLOW,COMMENTS,EXT.FLOW,PERC.EXC,NUMREC,NUMDAYS,Exclusion Comments
1966,1967-02-07 17:54:00,1.392,19.07,van Bladeren Record,19.07,0,1100,232.0,
1967,1967-11-10 13:42:00,1.188,11.52,van Bladeren Record,11.52,0,1141,255.0,
1968,1968-12-30 19:18:00,1.839,45.57,van Bladeren Record,45.57,0,1687,317.0,
1969,1969-12-25 00:00:00,1.179,11.24,van Bladeren Record,11.24,0,1231,257.0,
1970,1971-02-10 17:00:00,1.642,32.04,van Bladeren Record,32.04,0,1519,315.0,
1971,1972-03-27 22:00:00,2.081,66.75,van Bladeren Record,66.75,0,1025,261.0,
1972,1972-11-17 16:07:00,1.375,18.35,van Bladeren Record,18.35,0,1105,297.0,
1973,1973-12-20 15:42:00,1.528,25.58,van Bladeren Record,25.58,0,1133,295.0,
1974,1975-01-29 08:18:00,1.9709999999999999,56.47,van Bladeren Record,56.47,0,1245,301.0,
1975,1976-02-12 12:54:00,1.814,43.68,van Bladeren Record,43.68,0,1260,308.0,
1976,1977-03-06 10:00:00,1.98,57.26,van Bladeren Record,57.26,0,2008,365.0,
1977,1978-01-12 00:30:00,1.42,20.31,van Bladeren Record,20.31,0,1858,301.0,
1978,1979-02-08 15:30:00,1.83,44.88,van Bladeren Record,44.88,0,2043,362.0,
1979,1980-02-18 17:30:00,1.46,22.17,van Bladeren Record,22.17,0,1874,318.0,
1980,1981-01-09 14:42:00,0.794,3.08,van Bladeren Record,3.08,0,1779,319.0,
1981,1982-01-02 20:06:00,0.828,3.54,van Bladeren Record,3.54,0,1062,259.0,
1982,1983-03-22 23:42:00,1.61,30.13,van Bladeren Record,30.13,0,527,165.0,
1983,1983-11-11 02:00:00,1.49,23.63,van Bladeren Record,23.63,0,693,204.0,
1984,1985-03-13 17:54:00,1.25,13.56,van Bladeren Record,13.56,0,886,278.0,
1985,1985-10-31 22:24:00,1.043,7.57,van Bladeren Record,7.57,0,539,184.0,
1986,1987-01-10 15:54:00,1.57,27.85,van Bladeren Record,27.85,0,549,184.0,
1987,1987-12-05 18:42:00,1.145,10.24,van Bladeren Record,10.24,0,665,198.0,
1988,1988-10-22 00:06:00,0.733,2.35,van Bladeren Record,2.35,0,700,254.0,
1989,1989-12-09 23:12:00,1.21,12.22,van Bladeren Record,12.22,0,684,264.0,
1990,1991-02-08 17:12:00,1.19,11.58,van Bladeren Record,11.58,0,585,238.0,
1991,1991-12-26 20:18:00,0.174,0.02,van Bladeren Record,0.02,0,149,82.0,
1992,1993-03-04 12:54:00,0.5539999999999999,0.88,van Bladeren Record,0.88,0,203,103.0,
1993,1994-02-07 20:12:00,1.149,10.35,van Bladeren Record,10.35,0,332,156.0,
1994,1995-05-02 17:54:00,0.695,1.796,,1.796,0,249,111.0,
1995,1996-02-12 17:42:00,1.989,57.341,,57.341,0,563,183.0,
1996,1996-12-04 17:18:00,1.736,37.093,,37.093,0,587,224.0,
1997,1998-01-23 13:06:00,0.76,2.47,,2.47,0,670,240.0,
1998,1999-01-21 11:54:00,0.983,5.836,,5.836,0,622,203.0,
1999,2000-04-06 11:06:00,1.46,21.307,,21.307,0,1833,198.0,
2000,2001-02-26 17:12:00,2.141,72.587,,72.587,0,2360,277.0,
2001,2002-02-01 16:48:00,1.294,14.739,,14.739,0,5394,341.0,
2002,2003-01-10 21:42:00,1.054,7.486000000000001,,7.486000000000001,0,4502,290.0,
2003,2004-03-23 15:05:00,1.524,24.445,,24.445,0,8180,219.0,
2004,2005-02-26 16:00:00,0.638,1.271,,1.271,0,24284,343.0,
2005,2006-02-27 01:37:00,1.557,26.18,,26.18,0,43752,365.0,
2006,2006-11-18 20:46:00,0.49200000000000005,0.5820000000000001,,0.5820000000000001,0,25005,365.0,
2007,2008-01-23 09:45:00,1.4609999999999999,21.354,,21.354,0,43144,366.0,
2008,2008-12-15 23:06:00,0.922,4.689,,4.689,0,42749,363.0,
2009,2010-04-02 19:33:00,1.534,24.962,,24.962,0,43734,365.0,
2010,2011-01-09 19:50:00,0.943,5.047,,5.047,0,42275,365.0,
2011,2011-12-24 16:36:00,0.69,1.749,,1.749,0,43923,366.0,
2012,2013-01-20 05:24:00,1.082,8.212,,8.212,0,40413,337.0,
2013,2014-03-12 06:51:00,1.56,26.342,,26.342,0,42203,365.0,
2014,2014-12-12 09:10:00,1.41,19.058,,19.058,0,43434,365.0,
2015,2016-01-08 23:34:00,1.037,7.065,,7.065,0,43855,366.0,
2016,2016-12-15 20:10:00,0.405,0.295,,0.295,0,43125,365.0,
2017,2018-04-03 06:32:00,0.584,0.9470000000000001,,0.9470000000000001,0,30480,254.0,
