Hydroyear,DATE,COR.LEVEL,COR.FLOW,COMMENTS,EXT.FLOW,PERC.EXC,NUMREC,NUMDAYS,Exclusion Comments
1947,1947-12-31 06:00:00,0.603,108.0,van Bladeren Record,108.0,0,439,190.0,
1948,1949-02-02 18:00:00,0.521,58.0,van Bladeren Record,58.0,0,253,109.0,
1949,1949-11-07 07:30:00,0.603,90.0,van Bladeren Record,90.0,0,250,96.0,
1950,1951-04-17 02:00:00,0.61,27.0,van Bladeren Record,27.0,0,145,60.0,
1951,1952-04-08 05:00:00,0.43,14.0,van Bladeren Record,14.0,0,78,36.0,
1952,1953-02-12 06:00:00,0.603,55.0,van Bladeren Record,55.0,0,438,172.0,
1953,1954-02-04 06:00:00,0.603,27.0,van Bladeren Record,27.0,0,289,110.0,
1954,1954-12-17 06:00:00,0.457,64.0,van Bladeren Record,64.0,0,29,22.0,
1955,1955-10-25 17:00:00,0.579,25.0,van Bladeren Record,25.0,0,142,68.0,
1956,1957-01-22 06:00:00,0.701,37.0,van Bladeren Record,37.0,0,167,84.0,
1957,1958-01-11 05:00:00,1.128,1363.0,van Bladeren Record,1363.0,0,271,120.0,
1958,1959-01-10 18:00:00,0.61,275.0,van Bladeren Record,275.0,0,371,157.0,
1959,1959-12-18 06:00:00,0.579,25.0,van Bladeren Record,25.0,0,237,115.0,
1960,1961-01-17 12:00:00,1.341,132.0,van Bladeren Record,132.0,0,166,86.0,
1961,1961-12-19 06:00:00,0.823,52.0,van Bladeren Record,52.0,0,14,7.0,
1963,1963-12-21 16:00:00,0.61,27.0,van Bladeren Record,27.0,0,66,50.0,
1964,1964-11-19 05:00:00,1.219,112.0,van Bladeren Record,112.0,0,90,65.0,
1965,1965-11-13 21:13:00,1.031,84.0,van Bladeren Record,84.0,0,343,75.0,
1966,1967-02-08 05:30:00,1.305,127.0,van Bladeren Record,127.0,0,531,101.0,
1967,1967-10-01 06:00:00,0.0,0.0,van Bladeren Record,0.0,0,50,50.0,Excluded: Duplicated 6.7 Percent
1968,1969-03-11 15:18:00,1.365,137.0,van Bladeren Record,137.0,0,254,70.0,
1969,1969-10-04 16:00:00,0.0,0.0,van Bladeren Record,0.0,0,51,51.0,Excluded: Duplicated 6.7 Percent
1970,1971-01-16 19:42:00,0.904,63.0,van Bladeren Record,63.0,0,286,66.0,
1971,1972-03-06 03:48:00,0.862,57.0,van Bladeren Record,57.0,0,472,105.0,
1972,1972-12-12 07:42:00,0.392,11.0,van Bladeren Record,11.0,0,81,56.0,
1973,1973-12-11 06:06:00,0.768,45.0,van Bladeren Record,45.0,0,284,65.0,
1974,1975-01-29 21:00:00,0.95,71.0,van Bladeren Record,71.0,0,265,70.0,
1976,1977-02-08 18:24:00,1.04,85.0,van Bladeren Record,85.0,0,476,102.0,
1977,1978-01-13 03:48:00,1.56,172.0,van Bladeren Record,172.0,0,744,160.0,
1978,1979-01-03 13:24:00,0.28800000000000003,6.0,van Bladeren Record,6.0,0,163,41.0,
1979,1980-02-26 16:18:00,0.6629999999999999,32.0,van Bladeren Record,32.0,0,405,85.0,
1980,1981-02-03 14:54:00,2.35,348.0,van Bladeren Record,348.0,0,817,173.0,
1981,1981-12-31 02:48:00,0.218,4.0,van Bladeren Record,4.0,0,84,37.0,
1982,1983-03-24 12:30:00,0.527,20.0,van Bladeren Record,20.0,0,54,31.0,
1983,1984-03-08 04:30:00,1.5,162.0,van Bladeren Record,162.0,0,96,41.0,
1984,1985-02-09 23:00:00,1.79,219.0,van Bladeren Record,219.0,0,135,54.0,
1985,1985-11-05 22:00:00,0.217,4.0,van Bladeren Record,4.0,0,47,33.0,
1986,1986-12-29 17:54:00,0.652,30.0,van Bladeren Record,30.0,0,65,40.0,
1987,1988-01-08 20:18:00,0.748,41.0,van Bladeren Record,41.0,0,121,61.0,
1988,1988-10-04 07:18:00,0.0,0.0,van Bladeren Record,0.0,0,30,30.0,Excluded: Duplicated 6.7 Percent
1989,1989-10-23 00:42:00,0.483,17.0,van Bladeren Record,17.0,0,67,36.0,
1990,1991-01-20 03:06:00,0.126,2.0,van Bladeren Record,2.0,0,46,31.0,
1992,1992-12-12 01:36:00,0.9670000000000001,74.0,van Bladeren Record,74.0,0,42,22.0,
1993,1994-01-03 23:54:00,0.033,0.2,van Bladeren Record,0.2,0,9,7.0,
1994,1995-01-17 00:30:00,0.29600000000000004,6.455,,6.455,0,17,10.0,
