Hydroyear,DATE,COR.LEVEL,COR.FLOW,COMMENTS,EXT.FLOW,PERC.EXC,NUMREC,NUMDAYS,Exclusion Comments
1952,1953-09-28 08:00:00,-0.257,0.0,,0.0,0,201,201.0,
1953,1954-02-23 12:48:00,0.17800000000000002,12.765,,12.765,0,188,185.0,
1954,1955-02-21 08:00:00,0.7879999999999999,146.72,,146.72,0,238,220.0,
1955,1956-02-28 08:00:00,0.242,21.162,,21.162,0,284,281.0,
1956,1956-12-03 08:00:00,0.111,5.9110000000000005,,5.9110000000000005,0,318,318.0,
1957,1958-02-09 08:00:00,0.026000000000000002,0.522,,0.522,0,236,230.0,
1958,1959-02-08 08:00:00,0.27,25.346999999999998,,25.346999999999998,0,239,235.0,
1959,1959-12-31 08:00:00,-1.1320000000000001,0.0,,0.0,0,266,262.0,
1960,1961-02-16 08:00:00,0.239,20.732,,20.732,0,219,217.0,
1961,1961-10-01 08:00:00,-0.705,0.0,,0.0,0,265,263.0,
1962,1963-01-31 08:00:00,-3.8139999999999996,0.0,,0.0,0,248,248.0,
1963,1964-02-08 08:00:00,-5.521,0.0,,0.0,0,239,239.0,
1964,1965-02-08 08:00:00,-6.771,0.0,,0.0,0,183,183.0,
1965,1966-02-24 08:00:00,-7.167000000000001,0.0,,0.0,0,210,210.0,
1966,1967-03-13 14:00:00,0.087,3.985,,3.985,0,202,198.0,
1967,1967-10-01 08:00:00,-0.7659999999999999,0.0,,0.0,0,216,216.0,
1968,1969-05-05 08:00:00,-2.077,0.0,,0.0,0,256,256.0,
1969,1970-01-06 08:00:00,-1.3459999999999999,0.0,,0.0,0,265,265.0,
1970,1971-04-26 08:00:00,-0.462,0.0,,0.0,0,240,240.0,
1971,1972-03-29 08:00:00,0.14800000000000002,9.429,,9.429,0,185,185.0,
1972,1972-10-03 08:00:00,-0.7659999999999999,0.0,,0.0,0,246,246.0,
1973,1974-02-08 08:00:00,0.27,0.0,,0.0,0,232,232.0,
1974,1975-02-21 08:00:00,0.483,0.0,,0.0,0,259,254.0,
1975,1976-02-13 00:00:00,0.636,0.0,,0.0,0,216,209.0,
1976,1977-07-18 09:48:00,-0.7909999999999999,0.0,,0.0,0,222,151.0,
1977,1978-02-16 17:48:00,-0.605,0.0,,0.0,0,399,186.0,
1978,1978-10-05 12:00:00,-0.89,0.0,,0.0,0,202,157.0,
1979,1980-04-08 10:00:00,-0.428,0.0,,0.0,0,294,170.0,
1980,1981-03-17 08:12:00,-0.42,0.0,,0.0,0,152,120.0,
1981,1981-10-01 09:00:00,-1.245,0.0,,0.0,0,245,190.0,
1982,1982-10-01 02:24:00,-4.7010000000000005,0.0,,0.0,0,235,186.0,
1983,1984-01-23 10:36:00,-8.613999999999999,0.0,,0.0,0,427,232.0,
1984,1985-03-27 19:36:00,-8.415,0.0,,0.0,0,309,233.0,
1985,1985-10-01 06:00:00,-9.74,0.0,,0.0,0,383,265.0,
1986,1987-02-09 09:12:00,-12.155,0.0,,0.0,0,189,150.0,
1987,1988-04-04 09:00:00,-6.757999999999999,0.0,,0.0,0,274,183.0,
1988,1988-10-01 09:54:00,-7.561,0.0,,0.0,0,367,204.0,
1989,1989-10-02 02:42:00,-11.237,0.0,,0.0,0,352,250.0,
1990,1991-07-07 10:18:00,-7.445,0.0,,0.0,0,347,267.0,
1991,1991-10-01 07:06:00,-8.187999999999999,0.0,,0.0,0,362,290.0,
1992,1993-02-05 08:06:00,-14.34,0.0,,0.0,0,348,348.0,
1993,1994-04-13 12:18:00,-10.047,0.0,,0.0,0,211,187.0,
1994,1994-10-03 21:54:00,-10.999,0.0,,0.0,0,150,129.0,
1995,1996-07-25 07:30:00,-0.77,0.0,,0.0,0,398,207.0,
1996,1997-03-27 07:18:00,-0.77,0.0,,0.0,0,210,126.0,
1997,1997-10-02 07:06:00,-1.11,0.0,,0.0,0,392,226.0,
1998,1999-02-09 22:36:00,-3.014,0.0,,0.0,0,301,185.0,
1999,2000-04-06 04:54:00,-0.691,0.0,,0.0,0,2519,299.0,
2000,2001-05-02 22:02:00,-0.76,0.0,,0.0,0,648,197.0,
2001,2001-12-18 07:22:00,-0.68,0.0,,0.0,0,6997,271.0,
2002,2002-10-01 00:12:00,-1.126,0.0,,0.0,0,5105,334.0,
2003,2004-05-20 00:12:00,-1.2229999999999999,0.0,,0.0,0,3942,348.0,
2004,2004-10-01 00:00:00,-1.851,0.0,,0.0,0,10324,364.0,
2005,2006-05-06 22:52:00,-2.239,0.0,,0.0,0,29553,365.0,
2006,2006-10-01 01:29:00,-3.075,0.0,,0.0,0,43538,365.0,
2007,2008-05-10 20:44:00,-0.818,0.0,,0.0,0,36184,366.0,
2008,2009-02-07 08:00:00,-0.779,0.0,,0.0,0,1029,194.0,
2009,2010-05-31 14:29:00,-0.736,0.0,,0.0,0,25394,237.0,
2010,2011-04-23 12:45:00,-0.7070000000000001,0.0,,0.0,0,43805,365.0,
2011,2012-02-15 06:55:00,-0.7879999999999999,0.0,,0.0,0,40456,338.0,
2012,2013-01-31 13:58:00,-0.7659999999999999,0.0,,0.0,0,24267,287.0,
2013,2014-03-27 21:43:00,-0.708,0.0,,0.0,0,34049,365.0,
2014,2014-12-22 23:48:00,-0.735,0.0,,0.0,0,43593,365.0,
2015,2015-10-01 00:51:00,-1.568,0.0,,0.0,0,43844,366.0,
2016,2017-03-13 14:04:00,-3.555,0.0,,0.0,0,43723,365.0,
2017,2017-10-01 00:00:00,-4.971,0.0,,0.0,0,24674,228.0,
