,GEV,GLO,GPA,LNO,LP3,PE3
2,48.2565082314,49.1083150336,45.5131772125,45.2993441316,42.9501956891,39.2889104734
5,113.190789617,112.066112575,119.45065505,118.651224116,116.867139222,131.369724554
10,179.509356666,175.540552066,193.274808579,194.821819529,204.884869539,219.901435326
20,269.151155812,262.319685502,287.182493707,292.838345423,332.369856898,316.961028129
50,440.342106761,432.119038408,451.625327026,462.637232821,585.762971313,453.344755609
100,627.411635032,622.97151304,615.816118065,627.214979065,866.000136744,560.610301007
200,885.510752441,893.390013772,824.674281266,828.453531247,1250.17705213,670.383931563
