,GEV,GLO,GPA,LNO,LP3,PE3
2,68.3376988458,69.3554839322,65.9949927256,67.34903454,67.0481859979,65.7586601613
5,123.457599501,121.094054063,130.783486385,126.227974109,127.277299213,131.438388842
10,169.807882698,165.047208462,180.860933681,174.739368328,178.584661747,181.806633036
20,223.463981182,218.023599396,231.876379181,228.328674358,236.668660206,232.463907942
50,309.34092341,308.174461316,300.784588683,308.274213501,325.596346296,299.702663431
100,388.534523616,396.992449222,354.04631827,376.43232249,403.242921909,350.707103401
200,482.843673583,509.300871114,408.305690695,451.84135428,490.848179111,401.798798228
