,GEV,GLO,GPA,LNO,LP3,PE3
2,18.944258431,19.2851277715,17.7908430509,17.5995682338,16.5999055504,14.8191538835
5,46.4864840491,46.073241499,49.0426460095,48.8670653485,48.612287044,54.534065249
10,75.1202435508,73.5316031306,80.9368666067,82.1223924591,88.0237033394,93.8270158676
20,114.380237062,111.534580804,122.290264611,125.604331099,146.175109197,137.342626165
50,190.590742483,186.915718221,196.350644287,202.122960269,263.524017818,198.869492189
100,275.176274866,272.734028918,271.933422343,277.288875139,394.660137643,247.439400027
200,393.471478764,395.685498105,369.932515743,370.167302826,575.604779077,297.248405548
