,GEV,GLO,GPA,LNO,LP3,PE3
2,41.6271258596,42.3944644194,38.4324614897,36.8296321531,29.7046054458,26.5126878667
5,120.835623285,120.23125622,127.252440522,128.123478592,123.959481096,146.682163702
10,208.089609106,204.520443627,224.430722232,233.546884654,262.615208995,279.337958212
20,333.42833465,326.042919075,358.339792287,379.209730138,489.169690247,431.901459222
50,590.081766204,578.31156885,616.006625535,649.869277415,987.336386897,652.51510036
100,889.764638096,877.997016235,897.92090182,928.326813017,1578.96222545,828.95353958
200,1327.84784917,1323.51274157,1286.39122573,1285.10611551,2428.76101257,1011.19700904
