Hydroyear,DATE,COR.LEVEL,COR.FLOW,COMMENTS,EXT.FLOW,PERC.EXC,NUMREC,NUMDAYS,Exclusion Comments
1967,1968-07-22 08:00:00,0.573,139.809,,139.809,0.0,61.0,58.0,
1968,1969-03-14 19:06:00,0.461,100.0,van Bladeren Record,100.0,0.0,269.0,103.0,
1969,1969-12-08 16:18:00,1.652,802.0,van Bladeren Record,791.6750000000004,10.133333333333328,348.0,127.0,
1970,1971-01-23 06:24:00,0.251,38.0,van Bladeren Record,38.0,0.0,267.0,97.0,
1971,1972-01-25 07:00:00,0.648,178.0,van Bladeren Record,178.0,0.0,474.0,148.0,
1972,1973-04-15 22:06:00,0.079,7.0,van Bladeren Record,7.0,0.0,181.0,87.0,
1973,1974-01-30 15:24:00,0.772,238.0,van Bladeren Record,238.0,0.0,393.0,147.0,
1974,1975-01-28 19:54:00,1.161,465.0,van Bladeren Record,465.0,0.0,418.0,169.0,
1975,1976-02-24 13:42:00,1.3559999999999999,594.0,van Bladeren Record,594.0,0.0,341.0,156.0,
1976,1976-11-07 18:18:00,0.213,28.0,van Bladeren Record,28.0,0.0,223.0,123.0,
1977,1978-01-06 02:54:00,0.40299999999999997,80.0,van Bladeren Record,80.0,0.0,323.0,154.0,
1978,1979-06-29 07:54:00,0.12300000000000001,12.0,van Bladeren Record,12.0,0.0,174.0,80.0,
1979,1980-02-21 08:48:00,0.83,270.0,van Bladeren Record,270.0,0.0,360.0,136.0,
1980,1981-02-05 10:36:00,0.36200000000000004,68.0,van Bladeren Record,68.0,0.0,422.0,179.0,
1981,1982-02-28 23:18:00,0.092,8.0,van Bladeren Record,8.0,0.0,226.0,117.0,
1982,1983-03-25 20:54:00,0.071,5.0,van Bladeren Record,5.0,0.0,68.0,37.0,
1983,1983-12-10 04:06:00,0.156,19.0,van Bladeren Record,19.0,0.0,159.0,72.0,
1984,1985-02-08 23:42:00,0.633,169.0,van Bladeren Record,169.0,0.0,135.0,67.0,
1985,1985-10-01 00:00:00,-9.0,0.0,van Bladeren Record,0.0,0.0,,,
1986,1987-01-24 03:00:00,0.228,33.0,van Bladeren Record,33.0,0.0,39.0,16.0,
1987,1988-03-14 06:12:00,0.287,48.0,van Bladeren Record,48.0,0.0,197.0,96.0,
1988,1989-01-09 23:30:00,0.09699999999999999,9.0,van Bladeren Record,9.0,0.0,88.0,54.0,
1989,1990-03-28 17:06:00,0.067,5.0,van Bladeren Record,5.0,0.0,93.0,54.0,
1990,1991-02-17 12:42:00,0.555,139.0,van Bladeren Record,139.0,0.0,226.0,97.0,
1991,1991-10-01 00:00:00,-9.0,0.0,van Bladeren Record,0.0,0.0,,,
1992,1993-02-17 21:18:00,0.034,1.0,van Bladeren Record,1.0,0.0,20.0,9.0,
1993,1994-02-08 06:36:00,0.41700000000000004,86.0,van Bladeren Record,86.0,0.0,166.0,82.0,
1994,1995-05-07 13:00:00,0.08900000000000001,7.702000000000001,,7.702000000000001,0.0,63.0,39.0,
1995,1996-02-14 23:18:00,0.995,341.93,,341.93,0.0,474.0,165.0,
1996,1996-11-22 12:24:00,0.312,53.308,,53.308,0.0,215.0,144.0,
1997,1997-12-06 03:42:00,0.078,6.2989999999999995,,6.2989999999999995,0.0,95.0,62.0,
1998,1999-01-01 06:30:00,0.408,81.207,,81.207,0.0,233.0,130.0,
1999,2000-02-16 09:24:00,1.09,397.33,,397.33,0.0,1543.0,124.0,
2000,2001-03-01 09:24:00,0.12,12.161,,12.161,0.0,137.0,48.0,
2001,2001-11-28 08:42:00,0.9390000000000001,310.938,,310.938,0.0,779.0,194.0,
2002,2003-01-26 01:16:00,0.024,1.058,,1.058,0.0,138.0,64.0,
2003,2004-03-07 08:43:00,0.517,118.631,,118.631,0.0,423.0,173.0,
2004,2004-12-25 21:18:00,0.18600000000000003,23.864,,23.864,0.0,4014.0,176.0,
2005,2006-03-05 00:50:00,0.7040000000000001,194.66299999999998,,194.66299999999998,0.0,28826.0,262.0,
2006,2006-12-31 21:06:00,0.18600000000000003,23.864,,23.864,0.0,43786.0,365.0,
2007,2008-01-24 12:35:00,1.77,677.81,,880.1750000000011,18.0,43921.0,366.0,
2008,2009-03-02 08:42:00,0.486,107.501,,107.501,0.0,40956.0,364.0,
2009,2010-04-29 02:49:00,0.237,34.732,,34.732,0.0,43800.0,365.0,
2010,2011-01-25 03:34:00,0.39,75.641,,75.641,0.0,31157.0,360.0,
2011,2011-12-25 02:51:00,0.833,255.71599999999998,,255.71599999999998,0.0,40152.0,364.0,
2012,2013-01-21 20:07:00,0.282,45.523,,45.523,0.0,16140.0,136.0,
2013,2014-03-12 17:48:00,1.26,505.84,,505.84,0.0,43466.0,363.0,
2014,2014-12-29 08:48:00,0.413,82.78,,82.78,0.0,34269.0,365.0,
2015,2016-04-19 18:24:00,0.053,3.503,,3.503,0.0,25786.0,366.0,
2016,2017-01-31 13:24:00,0.585,144.525,,144.525,0.0,43103.0,365.0,
2017,2018-03-24 17:24:00,0.251,37.972,,37.972,0.0,29261.0,283.0,
