,GEV,GLO,GPA,LNO,LP3,PE3
2,20.076727698,20.3493951894,18.6844746853,17.5958128831,17.3772984545,12.2306409845
5,55.7659396594,55.6638605892,58.3724799109,59.0932065387,61.4182794691,67.8863492279
10,96.6499634433,95.3908254923,103.824115715,109.979559047,117.715733528,135.310124337
20,157.265122539,154.31912682,169.015274206,183.199107534,200.473867637,215.315492257
50,285.976913778,280.594022958,300.538776922,324.811751116,363.106360506,333.096410925
100,441.52297275,435.110002022,451.162581547,475.534826324,537.886535994,428.241095053
200,675.839448742,670.803160586,667.201897762,673.873276417,769.035043829,527.045072441
