Hydroyear,DATE,COR.LEVEL,COR.FLOW,COMMENTS,EXT.FLOW,PERC.EXC,NUMREC,NUMDAYS,Exclusion Comments
1961,1962-01-19 07:00:00,0.5329999999999999,7.8660000000000005,,7.8660000000000005,0.0,114,114.0,No flow recorded
1962,1962-12-12 06:00:00,0.107,0.604,,0.604,0.0,100,99.0,No flow recorded
1963,1964-01-30 08:06:00,0.175,1.3090000000000002,,1.3090000000000002,0.0,177,105.0,No flow recorded
1964,1965-04-14 23:00:00,0.10800000000000001,0.613,,0.613,0.0,229,117.0,No flow recorded
1965,1966-03-07 06:12:00,0.405,5.083,,5.083,0.0,340,133.0,No flow recorded
1966,1967-02-01 13:12:00,0.9740000000000001,18.965999999999998,,18.965999999999998,0.0,469,173.0,No flow recorded
1967,1967-11-18 05:48:00,0.207,1.7080000000000002,,1.7080000000000002,0.0,283,144.0,No flow recorded
1968,1969-03-17 04:12:00,0.408,5.144,,5.144,0.0,319,144.0,No flow recorded
1969,1969-11-11 00:36:00,0.35700000000000004,4.135,,4.135,0.0,96,79.0,No flow recorded
1970,1971-01-22 01:54:00,0.748,13.017000000000001,,13.017000000000001,0.0,182,100.0,No flow recorded
1971,1972-02-22 23:00:00,1.01,19.926,,19.926,0.0,367,152.0,No flow recorded
1972,1972-12-12 04:12:00,0.429,5.582000000000001,,5.582000000000001,0.0,312,126.0,No flow recorded
1973,1974-01-14 07:48:00,0.7929999999999999,14.17,,14.17,0.0,545,140.0,No flow recorded
1974,1975-02-15 07:12:00,0.623,9.943,,9.943,0.0,500,148.0,No flow recorded
1975,1975-12-19 19:48:00,0.531,7.821000000000001,,7.821000000000001,0.0,609,168.0,No flow recorded
1976,1977-02-09 07:36:00,1.21,25.304000000000002,,25.304000000000002,0.0,803,139.0,No flow recorded
1977,1978-02-22 22:00:00,0.914,17.365,,17.365,0.0,1109,206.0,No flow recorded
1978,1979-03-04 03:06:00,0.7020000000000001,11.863,,11.863,0.0,612,169.0,No flow recorded
1979,1980-03-19 02:54:00,1.06,21.261,,21.261,0.0,784,176.0,No flow recorded
1980,1981-02-03 02:18:00,0.85,15.661,,15.661,0.0,748,175.0,No flow recorded
1981,1982-03-04 18:36:00,0.425,5.497999999999999,,5.497999999999999,0.0,498,169.0,No flow recorded
1982,1983-01-14 08:18:00,0.11800000000000001,0.7040000000000001,,0.7040000000000001,0.0,118,53.0,No flow recorded
1983,1984-03-08 07:36:00,0.162,1.159,,1.159,0.0,182,71.0,No flow recorded
1984,1985-01-16 04:36:00,0.365,4.288,,4.288,0.0,435,144.0,No flow recorded
1985,1986-02-25 07:42:00,0.278,2.738,,2.738,0.0,199,92.0,No flow recorded
1986,1987-04-09 01:00:00,0.26,2.458,,2.458,0.0,119,64.0,No flow recorded
1987,1988-02-26 07:30:00,0.633,10.182,,10.182,0.0,275,112.0,No flow recorded
1988,1989-02-23 05:24:00,0.289,2.915,,2.915,0.0,703,165.0,No flow recorded
1989,1989-12-31 03:42:00,0.233,2.062,,2.062,0.0,260,100.0,No flow recorded
1990,1991-03-26 09:24:00,0.10300000000000001,0.569,,0.569,0.0,73,47.0,No flow recorded
1991,1992-02-02 21:42:00,0.203,1.656,,1.656,0.0,46,34.0,No flow recorded
1992,1993-02-04 22:48:00,0.183,1.405,,1.405,0.0,89,44.0,No flow recorded
1993,1994-02-01 08:30:00,0.311,3.295,,3.295,0.0,218,52.0,No flow recorded
1994,1995-02-19 02:24:00,0.332,3.67,,3.67,0.0,63,24.0,No flow recorded
1995,1996-02-10 06:42:00,1.1420000000000001,23.458000000000002,,23.458000000000002,0.0,959,171.0,No flow recorded
1996,1996-12-12 17:42:00,0.315,3.365,,3.365,0.0,1170,242.0,No flow recorded
1997,1998-02-18 19:54:00,0.626,10.015,,10.015,0.0,677,144.0,No flow recorded
1998,1999-02-05 05:36:00,0.655,10.710999999999999,,10.710999999999999,0.0,1140,238.0,No flow recorded
1999,2000-02-25 08:00:00,1.96,25.576999999999998,,45.71499999999993,60.65573770491803,3483,117.0,No flow recorded
2000,2001-03-07 21:26:00,0.397,4.92,,4.92,0.0,743,147.0,No flow recorded
2001,2001-12-11 22:24:00,0.522,7.621,,7.621,0.0,2990,126.0,No flow recorded
2002,2003-08-03 12:00:00,0.002,0.002,,0.002,0.0,4,4.0,No flow recorded
2003,2004-03-06 14:00:00,1.3319999999999999,25.576999999999998,,28.624428571428563,9.18032786885245,21189,284.0,No flow recorded
2004,2004-10-01 00:31:00,0.004,0.003,,0.003,0.0,38001,365.0,No flow recorded
2005,2006-03-21 02:12:00,1.17,24.215,,24.215,0.0,43729,365.0,No flow recorded
2006,2007-01-01 00:24:00,0.511,7.377999999999999,,7.377999999999999,0.0,43707,365.0,No flow recorded
2007,2008-01-10 02:55:00,0.898,16.939,,16.939,0.0,27270,348.0,No flow recorded
2008,2009-03-18 04:55:00,0.65,10.59,,10.59,0.0,15860,365.0,No flow recorded
2009,2009-11-20 14:26:00,0.546,8.158,,8.158,0.0,8039,365.0,No flow recorded
2010,2011-01-22 03:50:00,1.382,25.576999999999998,,29.985142857142844,13.278688524590159,43480,365.0,No flow recorded
2011,2011-11-22 06:22:00,0.114,0.667,,0.667,0.0,43853,366.0,No flow recorded
2012,2013-01-15 19:12:00,1.315,25.576999999999998,,28.16178571428571,7.786885245901637,43559,365.0,No flow recorded
2013,2014-02-03 02:48:00,1.05,20.994,,20.994,0.0,42051,355.0,No flow recorded
2014,2014-12-23 02:36:00,0.083,0.405,,0.405,0.0,43804,365.0,No flow recorded
