,GEV,GLO,GPA,LNO,LP3,PE3
2,125.176950114,126.889585433,122.208566953,125.222903647,126.645768798,124.935328002
5,225.385391642,218.102701856,241.922447528,226.000369227,250.569150581,228.045157247
10,290.957527482,281.760441652,305.165708218,291.073321298,307.603500998,293.077518324
20,353.282269797,348.296655338,351.703287015,352.495838332,343.56134581,352.841221355
50,433.129470024,445.099721129,394.917729129,431.139227601,371.092559773,426.863422715
100,492.358932173,527.202858796,417.747347674,489.852813252,382.875588487,480.280402664
200,550.861935628,618.50264719,434.546531657,548.471404896,390.103944707,532.072152125
