,GEV,GLO,GPA,LNO,LP3,PE3
2,35.1230111469,35.2093269543,33.0429635165,29.2558802355,33.7274036423,18.1892282835
5,95.250333781,95.7461039235,98.4171062715,99.9447572435,105.756257174,111.491506556
10,171.601250073,171.306477296,182.401956072,203.879228414,204.09014505,275.406041077
20,294.661978304,292.488601165,315.688994495,373.16653764,362.648906148,495.617845318
50,582.383537415,575.875343331,618.897578889,743.42626928,717.439987704,842.085883142
100,963.056880485,951.921849542,1008.42356494,1180.49331267,1154.67702587,1131.90903701
200,1583.91635528,1567.53702605,1626.61559829,1804.59496947,1811.75327193,1438.2911703
