Hydroyear,DATE,COR.LEVEL,COR.FLOW,COMMENTS,EXT.FLOW,PERC.EXC,NUMREC,NUMDAYS,Exclusion Comments
1952,1953-04-11 08:00:00,0.312,26.13,,26.13,0,197,196.0,Excluded: Duplicated 12.5 Percent
1953,1954-01-15 08:00:00,1.2570000000000001,222.394,,222.394,0,179,179.0,
1954,1955-02-05 08:00:00,0.45,45.648999999999994,,45.648999999999994,0,175,175.0,
1955,1956-02-28 08:00:00,0.495,52.806999999999995,,52.806999999999995,0,154,154.0,
1956,1957-03-01 08:00:00,0.175,10.88,,10.88,0,196,196.0,
1957,1958-01-04 06:00:00,0.892,130.591,,130.591,0,174,116.0,
1958,1959-01-08 14:00:00,0.312,26.13,,26.13,0,203,150.0,Excluded: Duplicated 12.5 Percent
1959,1959-12-27 06:00:00,0.16,9.502,,9.502,0,213,184.0,
1960,1961-02-13 11:00:00,0.434,43.193999999999996,,43.193999999999996,0,291,223.0,
1961,1961-10-01 08:00:00,-1.273,0.0,,0.0,0,284,273.0,
1962,1962-12-30 08:00:00,-5.052,0.0,,0.0,0,305,305.0,
1963,1963-10-01 08:00:00,-10.447000000000001,0.0,,0.0,0,213,213.0,
1964,1965-01-19 08:00:00,-10.203,0.0,,0.0,0,145,137.0,
1965,1966-02-17 09:00:00,1.013,159.018,,159.018,0,257,248.0,
1966,1967-01-30 08:00:00,0.251,18.781,,18.781,0,261,237.0,
1967,1967-10-01 08:00:00,-1.943,0.0,,0.0,0,262,262.0,
