,GEV,GLO,GPA,LNO,LP3,PE3
2,167.15377364,169.447000909,162.914683355,166.913449692,164.449769608,166.271742912
5,293.500572461,284.997258124,313.782224648,295.277460109,309.496583323,299.063286953
10,380.339329308,368.635339694,400.069418635,381.909043192,398.82361136,385.838257629
20,466.1059895,458.381775263,467.991137997,466.025426814,474.487055065,467.017147447
50,580.828007292,592.766861131,536.118618715,576.715103753,557.12652757,569.035109159
100,669.623332566,709.943319147,575.083455645,661.352369266,608.640041332,643.470606838
200,760.578948422,843.365422641,605.754967798,747.424913685,652.224037298,716.183678656
