Hydroyear,DATE,COR.LEVEL,COR.FLOW,COMMENTS,EXT.FLOW,PERC.EXC,NUMREC,NUMDAYS,Exclusion Comments
1971,1972-09-04 05:54:00,0.19899999999999998,0.495,,0.495,0.0,437,89.0,Excluded: Less than 91 days (1 Hydroquarter)
1972,1973-03-10 03:06:00,0.647,11.493,,11.493,0.0,1314,329.0,
1973,1974-01-18 14:36:00,0.6759999999999999,12.735999999999999,,12.735999999999999,0.0,1876,363.0,
1974,1974-12-19 00:18:00,0.688,13.264000000000001,,13.264000000000001,0.0,1896,356.0,
1975,1976-05-04 00:06:00,0.9279999999999999,25.44,,25.44,0.0,1809,358.0,
1976,1977-02-01 09:00:00,0.9279999999999999,25.44,,25.44,0.0,1569,356.0,
1977,1978-01-28 08:24:00,1.307,52.228,,52.228,0.0,1592,345.0,
1978,1979-02-02 14:36:00,0.58,8.832,,8.832,0.0,1604,354.0,
1979,1979-11-26 02:48:00,0.49,5.787000000000001,,5.787000000000001,0.0,2542,351.0,
1980,1980-12-10 22:36:00,0.986,28.802,,28.802,0.0,3262,362.0,
1981,1982-01-15 00:12:00,0.865,21.96,,21.96,0.0,2861,365.0,
1982,1982-12-22 16:18:00,0.544,7.537000000000001,,7.537000000000001,0.0,2242,357.0,
1983,1983-12-31 22:12:00,0.555,7.922999999999999,,7.922999999999999,0.0,1930,350.0,
1984,1985-01-05 23:12:00,0.993,29.219,,29.219,0.0,1698,300.0,
1985,1985-11-01 23:24:00,0.797,18.422,,18.422,0.0,2053,364.0,
1986,1986-12-10 21:18:00,1.4980000000000002,71.453,,71.453,0.0,2351,364.0,
1987,1988-02-24 23:42:00,0.7559999999999999,16.41,,16.41,0.0,2716,363.0,
1988,1989-01-09 22:06:00,0.721,14.76,,14.76,0.0,1929,354.0,
1989,1990-04-29 19:42:00,0.361,2.491,,2.491,0.0,2045,360.0,
1990,1991-02-18 19:42:00,0.812,19.182000000000002,,19.182000000000002,0.0,1804,342.0,
1991,1991-12-12 10:24:00,0.423,3.9389999999999996,,3.9389999999999996,0.0,2721,346.0,
1992,1993-01-29 16:24:00,0.618,10.302,,10.302,0.0,2192,338.0,
1993,1994-02-13 03:18:00,0.488,5.727,,5.727,0.0,1545,344.0,
1994,1994-12-08 23:12:00,0.469,5.178,,5.178,0.0,1846,356.0,
1995,1996-02-14 05:06:00,0.6940000000000001,13.532,,13.532,0.0,1624,352.0,
1996,1997-03-06 03:48:00,1.193,42.68899999999999,,42.68899999999999,0.0,1804,358.0,
1997,1998-01-02 06:42:00,0.55,7.746,,7.746,0.0,1879,358.0,
1998,1998-11-19 16:30:00,0.69,13.354000000000001,,13.354000000000001,0.0,2121,363.0,
1999,2000-02-10 21:45:00,1.193,42.68899999999999,,42.68899999999999,0.0,2041,345.0,
2000,2000-12-27 03:55:00,0.818,19.488,,19.488,0.0,2306,365.0,
2001,2001-11-25 10:27:00,0.44799999999999995,4.596,,4.596,0.0,1906,333.0,
2002,2002-12-28 05:54:00,0.366,2.597,,2.597,0.0,2281,357.0,
2003,2004-02-25 03:26:00,0.45,4.662,,4.662,0.0,3276,354.0,
2004,2005-01-14 17:53:00,0.478,5.436,,5.436,0.0,43178,365.0,
2005,2006-01-03 14:34:00,0.9490000000000001,26.616999999999997,,26.616999999999997,0.0,18855,362.0,
2006,2007-01-17 08:04:00,0.408,3.571,,3.571,0.0,27285,363.0,
2007,2008-01-07 23:23:00,0.5720000000000001,8.537,,8.537,0.0,30407,366.0,
2008,2008-11-13 07:43:00,0.6659999999999999,12.283,,12.283,0.0,32148,365.0,
2009,2009-12-21 17:25:00,0.722,14.806,,14.806,0.0,28752,365.0,
2010,2010-12-16 09:48:00,1.462,67.45100000000001,,67.45100000000001,0.0,30116,365.0,
2011,2011-11-23 01:30:00,0.745,15.884,,15.884,0.0,29593,366.0,
2012,2013-04-20 08:58:00,0.649,11.578,,11.578,0.0,31130,365.0,
2013,2014-02-03 14:30:00,1.557,71.682,,77.86444047619048,3.799999999999996,34184,365.0,
2014,2015-02-17 09:28:00,0.505,6.2410000000000005,,6.2410000000000005,0.0,32096,365.0,
2015,2016-02-05 22:43:00,0.743,15.789000000000001,,15.789000000000001,0.0,22113,366.0,
2016,2017-02-22 04:13:00,0.711,14.3,,14.3,0.0,32652,365.0,
2017,2018-03-23 05:59:00,0.579,8.795,,8.795,0.0,24603,232.0,
