Hydroyear,DATE,COR.LEVEL,COR.FLOW,COMMENTS,EXT.FLOW,PERC.EXC,NUMREC,NUMDAYS,Exclusion Comments
1961,1962-06-24 09:30:00,0.009000000000000001,0.002,,0.002,0.0,15,15.0,Excluded: Less than 91 days (1 Hydroquarter)
1962,1963-04-08 07:54:00,0.799,14.4,van Bladeren Record,14.4,0.0,378,144.0,
1963,1964-01-07 05:18:00,0.5,4.5,van Bladeren Record,4.5,0.0,340,146.0,
1964,1964-12-20 17:06:00,0.564,6.1,van Bladeren Record,6.1,0.0,746,241.0,
1965,1966-04-19 10:12:00,0.006,0.0,van Bladeren Record,0.0,0.0,70,60.0,
1966,1967-01-21 11:54:00,1.62,83.8,van Bladeren Record,83.8,0.0,1169,262.0,
1967,1967-10-25 17:18:00,0.46399999999999997,3.7,van Bladeren Record,3.7,0.0,1142,317.0,
1968,1968-11-26 00:06:00,0.527,5.1,van Bladeren Record,5.1,0.0,875,265.0,
1969,1969-12-08 09:00:00,0.769,13.2,van Bladeren Record,13.2,0.0,705,245.0,
1970,1970-12-22 18:24:00,0.818,15.2,van Bladeren Record,15.2,0.0,772,262.0,
1971,1972-01-25 06:06:00,0.35200000000000004,2.0,van Bladeren Record,2.0,0.0,723,271.0,
1972,1973-01-24 03:18:00,0.6709999999999999,9.5,van Bladeren Record,9.5,0.0,352,159.0,
1973,1974-02-09 01:48:00,0.375,2.3,van Bladeren Record,2.3,0.0,526,204.0,
1974,1975-01-25 09:18:00,1.4,57.6,van Bladeren Record,57.6,0.0,874,259.0,
1975,1976-02-07 10:42:00,0.919,19.9,van Bladeren Record,19.9,0.0,550,214.0,
1976,1977-03-11 20:42:00,0.695,10.4,van Bladeren Record,10.4,0.0,1338,306.0,
1977,1978-01-28 06:06:00,1.26,44.7,van Bladeren Record,44.7,0.0,1108,226.0,
1978,1979-03-03 03:54:00,0.46799999999999997,3.8,van Bladeren Record,3.8,0.0,1000,286.0,
1979,1980-02-18 20:36:00,0.545,5.6,van Bladeren Record,5.6,0.0,908,293.0,
1980,1980-12-05 01:36:00,0.524,5.0,van Bladeren Record,5.0,0.0,1024,244.0,
1981,1982-02-07 10:54:00,0.341,1.9,van Bladeren Record,1.9,0.0,486,165.0,
1982,1983-01-06 20:48:00,0.35100000000000003,2.0,van Bladeren Record,2.0,0.0,77,46.0,
1983,1983-11-20 13:24:00,0.466,3.7,van Bladeren Record,3.7,0.0,504,162.0,
1984,1985-02-07 22:00:00,0.49200000000000005,4.3,van Bladeren Record,4.3,0.0,191,86.0,
1985,1985-10-31 23:18:00,0.516,4.8,van Bladeren Record,4.8,0.0,108,55.0,
1986,1987-03-22 04:48:00,0.925,20.3,van Bladeren Record,20.3,0.0,803,257.0,
1987,1987-12-13 16:24:00,0.318,1.6,van Bladeren Record,1.6,0.0,792,262.0,
1988,1989-02-18 09:48:00,0.193,0.3,van Bladeren Record,0.3,0.0,321,124.0,
1989,1989-11-06 04:30:00,0.583,6.7,van Bladeren Record,6.7,0.0,747,278.0,
1990,1991-02-16 19:54:00,1.234,42.2,van Bladeren Record,42.2,0.0,664,235.0,
1991,1991-12-08 23:54:00,0.26899999999999996,1.0,van Bladeren Record,1.0,0.0,183,92.0,
1992,1993-02-05 06:00:00,0.20600000000000002,0.4,van Bladeren Record,0.4,0.0,164,67.0,
1993,1994-02-12 22:24:00,0.601,7.2,van Bladeren Record,7.2,0.0,327,129.0,
1994,1995-01-14 15:42:00,0.502,4.494,,4.494,0.0,197,104.0,
1995,1996-02-14 08:54:00,1.037,27.201999999999998,,27.201999999999998,0.0,463,178.0,
1996,1997-03-26 17:42:00,0.922,20.101,,20.101,0.0,453,175.0,
1997,1998-02-17 11:48:00,0.613,7.581,,7.581,0.0,573,257.0,
1998,1998-12-31 12:12:00,1.5959999999999999,80.407,,80.407,0.0,686,269.0,
1999,2000-02-09 16:34:00,0.723,11.470999999999998,,11.470999999999998,0.0,551,212.0,
2000,2000-10-22 04:05:00,0.655,8.969,,8.969,0.0,791,304.0,
2001,2001-11-27 15:57:00,0.768,13.122,,13.122,0.0,845,276.0,
2002,2003-02-20 15:45:00,0.517,4.857,,4.857,0.0,6042,321.0,
2003,2004-03-22 23:09:00,0.672,9.567,,9.567,0.0,3376,218.0,
2004,2004-12-08 16:36:00,0.935,20.831,,20.831,0.0,3096,276.0,
2005,2006-03-01 03:40:00,0.963,22.447,,22.447,0.0,845,209.0,
2006,2007-02-09 05:55:00,0.7070000000000001,10.856,,10.856,0.0,21135,349.0,
2007,2008-01-22 05:55:00,1.42,59.662,,59.662,0.0,30398,366.0,
2008,2009-03-19 07:46:00,0.684,10.0,,10.0,0.0,18381,351.0,
2009,2010-04-05 15:57:00,0.7090000000000001,10.932,,10.932,0.0,13774,363.0,
2010,2011-01-05 05:24:00,2.26,83.78299999999999,,170.23977777777785,39.50617283950615,20443,365.0,Excluded: RT exceeded 39.5%
2011,2011-12-14 04:49:00,1.046,27.824,,27.824,0.0,25686,366.0,
2012,2012-11-25 03:48:00,0.55,5.718999999999999,,5.718999999999999,0.0,31187,365.0,
2013,2014-03-10 21:24:00,1.386,56.233000000000004,,56.233000000000004,0.0,26854,365.0,
2014,2015-01-27 22:21:00,0.763,12.945,,12.945,0.0,26359,365.0,
2015,2016-03-17 13:33:00,0.701,10.629000000000001,,10.629000000000001,0.0,22189,366.0,
2016,2016-11-10 21:51:00,1.057,28.598000000000003,,28.598000000000003,0.0,16761,346.0,
2017,2018-03-23 12:28:00,1.51,68.812,,68.812,0.0,11180,220.0,
