,GEV,GLO,GPA,LNO,LP3,PE3
2,2.41489755135,2.46952452137,2.23439161315,2.21201480706,1.89019634632,1.79576883738
5,6.70680723373,6.63777533093,7.11235497766,7.07320242966,8.1049284948,7.93659412845
10,11.131904848,10.877338544,12.0400914367,12.1855783997,14.8101103773,13.929948766
20,17.1588601062,16.711356661,18.3726588608,18.8200512664,22.6152704512,20.5356195255
50,28.7692122002,28.2097149813,29.595529727,30.4092429187,33.8139356503,29.8480306884
100,41.5620665716,41.2218872091,40.932914986,41.7220250842,42.4721087993,37.1865470281
200,59.3401966368,59.7677398383,55.5024353251,55.6317979167,50.9864422683,44.7049290969
